@cfstringencoding	@charset
0	macintosh	# Western (Mac OS Roman)
1	x-mac-japanese	# Japanese (Mac OS)
2	x-mac-trad-chinese	# Traditional Chinese (Mac OS)
3	x-mac-korean	# Korean (Mac OS)
4	x-mac-arabic	# Arabic (Mac OS)
5	x-mac-hebrew	# Hebrew (Mac OS)
6	x-mac-greek	# Greek (Mac OS)
7	x-mac-cyrillic	# Cyrillic (Mac OS)
9	x-mac-devanagari	# Devanagari (Mac OS)
10	x-mac-gurmukhi	# Gurmukhi (Mac OS)
11	x-mac-gujarati	# Gujarati (Mac OS)
12	x-mac-oriya	# Oriya (Mac OS)
13	x-mac-bengali	# Bengali (Mac OS)
14	x-mac-tamil	# Tamil (Mac OS)
15	x-mac-telugu	# Telugu (Mac OS)
16	x-mac-kannada	# Kannada (Mac OS)
17	x-mac-malayalam	# Malayalam (Mac OS)
18	x-mac-sinhalese	# Sinhalese (Mac OS)
19	x-mac-burmese	# Burmese (Mac OS)
20	x-mac-khmer	# Khmer (Mac OS)
21	x-mac-thai	# Thai (Mac OS)
22	x-mac-laotian	# Laotian (Mac OS)
23	x-mac-georgian	# Georgian (Mac OS)
24	x-mac-armenian	# Armenian (Mac OS)
25	x-mac-simp-chinese	# Simplified Chinese (Mac OS)
26	x-mac-tibetan	# Tibetan (Mac OS)
27	x-mac-mongolian	# Mongolian (Mac OS)
28	x-mac-ethiopic	# Ethiopic (Mac OS)
29	x-mac-centraleurroman	# Central European (Mac OS)
30	x-mac-vietnamese	# Vietnamese (Mac OS)
31	X-MAC-EXTARABIC	# --
33	x-mac-symbol	# Symbol (Mac OS)
34	x-mac-dingbats	# Dingbats (Mac OS)
35	x-mac-turkish	# Turkish (Mac OS)
36	x-mac-croatian	# Croatian (Mac OS)
37	x-mac-icelandic	# Icelandic (Mac OS)
38	x-mac-romanian	# Romanian (Mac OS)
39	x-mac-celtic	# Celtic (Mac OS)
40	x-mac-gaelic	# Gaelic (Mac OS)
41	--	# Keyboard Symbols (Mac OS)
126	UTF-16	# Unicode 5.1
140	x-mac-farsi	# Farsi (Mac OS)
152	x-mac-ukrainian	# Cyrillic (Mac OS Ukrainian)
236	x-mac-inuit	# Inuit (Mac OS)
252	--	# Western (Mac VT100)
255	macintosh	# Western (Mac OS Roman)
