@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x012121	0x3000
0x012122	0xFF0C
0x012123	0x3001
0x012124	0x3002
0x012125	0xFF0E
0x012126	0x30FB
0x012127	0xFF1B
0x012128	0xFF1A
0x012129	0xFF1F
0x01212A	0xFF01
0x01212B	0xFE30
0x01212C	0x2026
0x01212D	0x2025
0x01212E	0xFE50
0x01212F	0xFE51
0x012130	0xFE52
0x012131	0x00B7
0x012132	0xFE54
0x012133	0xFE55
0x012134	0xFE56
0x012135	0xFE57
0x012136	0xFE31
0x012137	0x2014
0x012138	0xFE32
0x012139	0x2013
0x01213E	0xFF08
0x01213F	0xFF09
0x012140	0xFE35
0x012141	0xFE36
0x012142	0xFF5B
0x012143	0xFF5D
0x012144	0xFE37
0x012145	0xFE38
0x012146	0x3014
0x012147	0x3015
0x012148	0xFE39
0x012149	0xFE3A
0x01214A	0x3010
0x01214B	0x3011
0x01214C	0xFE3B
0x01214D	0xFE3C
0x01214E	0x300A
0x01214F	0x300B
0x012150	0xFE3D
0x012151	0xFE3E
0x012152	0x3008
0x012153	0x3009
0x012154	0xFE3F
0x012155	0xFE40
0x012156	0x300C
0x012157	0x300D
0x012158	0xFE41
0x012159	0xFE42
0x01215A	0x300E
0x01215B	0x300F
0x01215C	0xFE43
0x01215D	0xFE44
0x01215E	0xFE59
0x01215F	0xFE5A
0x012160	0xFE5B
0x012161	0xFE5C
0x012162	0xFE5D
0x012163	0xFE5E
0x012164	0x2018
0x012165	0x2019
0x012166	0x201C
0x012167	0x201D
0x012168	0x301D
0x012169	0x301E
0x01216A	0x2032
0x01216B	0x2035
0x01216C	0xFF03
0x01216D	0xFF06
0x01216E	0xFF0A
0x01216F	0x203B
0x012170	0x00A7
0x012171	0x3003
0x012172	0x25CB
0x012173	0x25CF
0x012174	0x25B3
0x012175	0x25B2
0x012176	0x25CE
0x012177	0x2606
0x012178	0x2605
0x012179	0x25C7
0x01217A	0x25C6
0x01217B	0x25A1
0x01217C	0x25A0
0x01217D	0x25BD
0x01217E	0x25BC
0x012221	0x32A3
0x012222	0x2105
0x012223	0x203E
0x012225	0xFF3F
0x012227	0xFE49
0x012228	0xFE4A
0x012229	0xFE4D
0x01222A	0xFE4E
0x01222B	0xFE4B
0x01222C	0xFE4C
0x01222D	0xFE5F
0x01222E	0xFE60
0x01222F	0xFE61
0x012230	0xFF0B
0x012231	0xFF0D
0x012232	0x00D7
0x012233	0x00F7
0x012234	0x00B1
0x012235	0x221A
0x012236	0xFF1C
0x012237	0xFF1E
0x012238	0xFF1D
0x012239	0x2266
0x01223A	0x2267
0x01223B	0x2260
0x01223C	0x221E
0x01223D	0x2252
0x01223E	0x2261
0x01223F	0xFE62
0x012240	0xFE63
0x012241	0xFE64
0x012242	0xFE66
0x012243	0xFE65
0x012244	0x223C
0x012245	0x2229
0x012246	0x222A
0x012247	0x22A5
0x012248	0x2220
0x012249	0x221F
0x01224A	0x22BF
0x01224B	0x33D2
0x01224C	0x33D1
0x01224D	0x222B
0x01224E	0x222E
0x01224F	0x2235
0x012250	0x2234
0x012251	0x2640
0x012252	0x2642
0x012253	0x2641
0x012254	0x2609
0x012255	0x2191
0x012256	0x2193
0x012257	0x2192
0x012258	0x2190
0x012259	0x2196
0x01225A	0x2197
0x01225B	0x2199
0x01225C	0x2198
0x01225D	0x2016
0x01225E	0xFF5C
0x01225F	0xFF0F
0x012260	0xFF3C
0x012261	0x2215
0x012262	0xFE68
0x012263	0xFF04
0x012264	0xFFE5
0x012265	0x3012
0x012266	0xFFE0
0x012267	0xFFE1
0x012268	0xFF05
0x012269	0xFF20
0x01226A	0x2103
0x01226B	0x2109
0x01226C	0xFE69
0x01226D	0xFE6A
0x01226E	0xFE6B
0x01226F	0x33D5
0x012270	0x339C
0x012271	0x339D
0x012272	0x339E
0x012273	0x33CE
0x012274	0x33A1
0x012275	0x338E
0x012276	0x338F
0x012277	0x33C4
0x012278	0x00B0
0x012279	0x5159
0x01227A	0x515B
0x01227B	0x515E
0x01227C	0x515D
0x01227D	0x5161
0x01227E	0x5163
0x012321	0x55E7
0x012322	0x74E9
0x012323	0x7CCE
0x012324	0x2581
0x012325	0x2582
0x012326	0x2583
0x012327	0x2584
0x012328	0x2585
