@name	JIS X 0201
@charset	JIS_X0201
@charset	X0201
@charset	csHalfWidthKatakana
@mibenum	15
@cfstringencoding	1568
@filename-kte	jis-0201.kte
@filename-txt	OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@cite-author	Unicode, Inc.
@cite-title	JIS X 0201 (1976) to Unicode 1.1 Table
@cite-publisher	Unicode, Inc.
@cite-date	8 Mar 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@cite-copyright	1991-1994 Unicode, Inc.
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x0040	# COMMERCIAL AT
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x00A5	# YEN SIGN
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x203E	# OVERLINE
@import	fragments/ascii-del.txt	# DELETE
@import	fragments/latin1-c1.txt	# <control> .. <control>
0xA1	0xFF61	# HALFWIDTH IDEOGRAPHIC FULL STOP
0xA2	0xFF62	# HALFWIDTH LEFT CORNER BRACKET
0xA3	0xFF63	# HALFWIDTH RIGHT CORNER BRACKET
0xA4	0xFF64	# HALFWIDTH IDEOGRAPHIC COMMA
0xA5	0xFF65	# HALFWIDTH KATAKANA MIDDLE DOT
0xA6	0xFF66	# HALFWIDTH KATAKANA LETTER WO
0xA7	0xFF67	# HALFWIDTH KATAKANA LETTER SMALL A
0xA8	0xFF68	# HALFWIDTH KATAKANA LETTER SMALL I
0xA9	0xFF69	# HALFWIDTH KATAKANA LETTER SMALL U
0xAA	0xFF6A	# HALFWIDTH KATAKANA LETTER SMALL E
0xAB	0xFF6B	# HALFWIDTH KATAKANA LETTER SMALL O
0xAC	0xFF6C	# HALFWIDTH KATAKANA LETTER SMALL YA
0xAD	0xFF6D	# HALFWIDTH KATAKANA LETTER SMALL YU
0xAE	0xFF6E	# HALFWIDTH KATAKANA LETTER SMALL YO
0xAF	0xFF6F	# HALFWIDTH KATAKANA LETTER SMALL TU
0xB0	0xFF70	# HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xB1	0xFF71	# HALFWIDTH KATAKANA LETTER A
0xB2	0xFF72	# HALFWIDTH KATAKANA LETTER I
0xB3	0xFF73	# HALFWIDTH KATAKANA LETTER U
0xB4	0xFF74	# HALFWIDTH KATAKANA LETTER E
0xB5	0xFF75	# HALFWIDTH KATAKANA LETTER O
0xB6	0xFF76	# HALFWIDTH KATAKANA LETTER KA
0xB7	0xFF77	# HALFWIDTH KATAKANA LETTER KI
0xB8	0xFF78	# HALFWIDTH KATAKANA LETTER KU
0xB9	0xFF79	# HALFWIDTH KATAKANA LETTER KE
0xBA	0xFF7A	# HALFWIDTH KATAKANA LETTER KO
0xBB	0xFF7B	# HALFWIDTH KATAKANA LETTER SA
0xBC	0xFF7C	# HALFWIDTH KATAKANA LETTER SI
0xBD	0xFF7D	# HALFWIDTH KATAKANA LETTER SU
