@category	EBCDIC
@display	CP500 (EBCDIC International)
@name	CP500
@alias	EBCDIC 500
@alias	IBM International
@alias	EBCDIC International
@charset	IBM500
@charset	CP500
@charset	ebcdic-cp-be
@charset	ebcdic-cp-ch
@charset	csIBM500
@codepage	500
@mibenum	2044
@filename-kte	cp500.kte
@filename-txt	VENDORS/MICSFT/EBCDIC/CP500.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP500.TXT
@cite-author	Shawn Steele
@cite-title	cp500_IBMInternational to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP500.TXT
@import	fragments/ebcdic-ctl.txt	# NULL .. SUBSTITUTE
@import	fragments/ebcdic-sp.txt	# SPACE .. NO-BREAK SPACE
0x42	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0x43	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x44	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0x45	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0x46	0x00E3	# LATIN SMALL LETTER A WITH TILDE
0x47	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0x48	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x49	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0x4A	0x005B	# LEFT SQUARE BRACKET
0x4B	0x002E	# FULL STOP
0x4C	0x003C	# LESS-THAN SIGN
0x4D	0x0028	# LEFT PARENTHESIS
0x4E	0x002B	# PLUS SIGN
0x4F	0x0021	# EXCLAMATION MARK
0x50	0x0026	# AMPERSAND
0x51	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x52	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x53	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0x54	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x55	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0x56	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0x57	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0x58	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0x59	0x00DF	# LATIN SMALL LETTER SHARP S
0x5A	0x005D	# RIGHT SQUARE BRACKET
0x5B	0x0024	# DOLLAR SIGN
0x5C	0x002A	# ASTERISK
0x5D	0x0029	# RIGHT PARENTHESIS
0x5E	0x003B	# SEMICOLON
0x5F	0x005E	# CIRCUMFLEX ACCENT
0x60	0x002D	# HYPHEN-MINUS
0x61	0x002F	# SOLIDUS
0x62	0x00C2	# LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x63	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x64	0x00C0	# LATIN CAPITAL LETTER A WITH GRAVE
0x65	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0x66	0x00C3	# LATIN CAPITAL LETTER A WITH TILDE
0x67	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0x68	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0x69	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0x6A	0x00A6	# BROKEN BAR
0x6B	0x002C	# COMMA
0x6C	0x0025	# PERCENT SIGN
0x6D	0x005F	# LOW LINE
0x6E	0x003E	# GREATER-THAN SIGN
0x6F	0x003F	# QUESTION MARK
0x70	0x00F8	# LATIN SMALL LETTER O WITH STROKE
0x71	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x72	0x00CA	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x73	0x00CB	# LATIN CAPITAL LETTER E WITH DIAERESIS
0x74	0x00C8	# LATIN CAPITAL LETTER E WITH GRAVE
0x75	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0x76	0x00CE	# LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x77	0x00CF	# LATIN CAPITAL LETTER I WITH DIAERESIS
0x78	0x00CC	# LATIN CAPITAL LETTER I WITH GRAVE
0x79	0x0060	# GRAVE ACCENT
0x7A	0x003A	# COLON
0x7B	0x0023	# NUMBER SIGN
0x7C	0x0040	# COMMERCIAL AT
0x7D	0x0027	# APOSTROPHE
0x7E	0x003D	# EQUALS SIGN
0x7F	0x0022	# QUOTATION MARK
0x80	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
@import	fragments/ebcdic-lc-ai.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER I
0x8A	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x8B	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x8C	0x00F0	# LATIN SMALL LETTER ETH
0x8D	0x00FD	# LATIN SMALL LETTER Y WITH ACUTE
0x8E	0x00FE	# LATIN SMALL LETTER THORN
0x8F	0x00B1	# PLUS-MINUS SIGN
0x90	0x00B0	# DEGREE SIGN
@import	fragments/ebcdic-lc-jr.txt	# LATIN SMALL LETTER J .. LATIN SMALL LETTER R
0x9A	0x00AA	# FEMININE ORDINAL INDICATOR
0x9B	0x00BA	# MASCULINE ORDINAL INDICATOR
0x9C	0x00E6	# LATIN SMALL LETTER AE
0x9D	0x00B8	# CEDILLA
0x9E	0x00C6	# LATIN CAPITAL LETTER AE
0x9F	0x00A4	# CURRENCY SIGN
0xA0	0x00B5	# MICRO SIGN
0xA1	0x007E	# TILDE
@import	fragments/ebcdic-lc-sz.txt	# LATIN SMALL LETTER S .. LATIN SMALL LETTER Z
0xAA	0x00A1	# INVERTED EXCLAMATION MARK
0xAB	0x00BF	# INVERTED QUESTION MARK
0xAC	0x00D0	# LATIN CAPITAL LETTER ETH
0xAD	0x00DD	# LATIN CAPITAL LETTER Y WITH ACUTE
0xAE	0x00DE	# LATIN CAPITAL LETTER THORN
0xAF	0x00AE	# REGISTERED SIGN
0xB0	0x00A2	# CENT SIGN
0xB1	0x00A3	# POUND SIGN
0xB2	0x00A5	# YEN SIGN
0xB3	0x00B7	# MIDDLE DOT
0xB4	0x00A9	# COPYRIGHT SIGN
0xB5	0x00A7	# SECTION SIGN
0xB6	0x00B6	# PILCROW SIGN
0xB7	0x00BC	# VULGAR FRACTION ONE QUARTER
0xB8	0x00BD	# VULGAR FRACTION ONE HALF
0xB9	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xBA	0x00AC	# NOT SIGN
0xBB	0x007C	# VERTICAL LINE
0xBC	0x00AF	# MACRON
0xBD	0x00A8	# DIAERESIS
0xBE	0x00B4	# ACUTE ACCENT
0xBF	0x00D7	# MULTIPLICATION SIGN
0xC0	0x007B	# LEFT CURLY BRACKET
@import	fragments/ebcdic-uc-ai.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER I
0xCA	0x00AD	# SOFT HYPHEN
0xCB	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0xCC	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0xCD	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0xCE	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xCF	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0xD0	0x007D	# RIGHT CURLY BRACKET
@import	fragments/ebcdic-uc-jr.txt	# LATIN CAPITAL LETTER J .. LATIN CAPITAL LETTER R
0xDA	0x00B9	# SUPERSCRIPT ONE
0xDB	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0xDC	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xDD	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0xDE	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xDF	0x00FF	# LATIN SMALL LETTER Y WITH DIAERESIS
0xE0	0x005C	# REVERSE SOLIDUS
0xE1	0x00F7	# DIVISION SIGN
@import	fragments/ebcdic-uc-sz.txt	# LATIN CAPITAL LETTER S .. LATIN CAPITAL LETTER Z
0xEA	0x00B2	# SUPERSCRIPT TWO
0xEB	0x00D4	# LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xEC	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xED	0x00D2	# LATIN CAPITAL LETTER O WITH GRAVE
0xEE	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xEF	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
@import	fragments/ebcdic-num.txt	# DIGIT ZERO .. DIGIT NINE
0xFA	0x00B3	# SUPERSCRIPT THREE
0xFB	0x00DB	# LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xFC	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xFD	0x00D9	# LATIN CAPITAL LETTER U WITH GRAVE
0xFE	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
@import	fragments/ebcdic-apc.txt	# CONTROL
