@category	EBCDIC
@display	CP875 (EBCDIC Greek)
@name	CP875
@alias	EBCDIC 875
@alias	IBM Greek
@alias	EBCDIC Greek
@codepage	875
@filename-kte	cp875.kte
@filename-txt	VENDORS/MICSFT/EBCDIC/CP875.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP875.TXT
@cite-author	Shawn Steele
@cite-title	cp875_IBMGreek to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP875.TXT
@import	fragments/ebcdic-ctl.txt	# NULL .. SUBSTITUTE
0x40	0x0020	# SPACE
0x41	0x0391	# GREEK CAPITAL LETTER ALPHA
0x42	0x0392	# GREEK CAPITAL LETTER BETA
0x43	0x0393	# GREEK CAPITAL LETTER GAMMA
0x44	0x0394	# GREEK CAPITAL LETTER DELTA
0x45	0x0395	# GREEK CAPITAL LETTER EPSILON
0x46	0x0396	# GREEK CAPITAL LETTER ZETA
0x47	0x0397	# GREEK CAPITAL LETTER ETA
0x48	0x0398	# GREEK CAPITAL LETTER THETA
0x49	0x0399	# GREEK CAPITAL LETTER IOTA
0x4A	0x005B	# LEFT SQUARE BRACKET
0x4B	0x002E	# FULL STOP
0x4C	0x003C	# LESS-THAN SIGN
0x4D	0x0028	# LEFT PARENTHESIS
0x4E	0x002B	# PLUS SIGN
0x4F	0x0021	# EXCLAMATION MARK
0x50	0x0026	# AMPERSAND
0x51	0x039A	# GREEK CAPITAL LETTER KAPPA
0x52	0x039B	# GREEK CAPITAL LETTER LAMDA
0x53	0x039C	# GREEK CAPITAL LETTER MU
0x54	0x039D	# GREEK CAPITAL LETTER NU
0x55	0x039E	# GREEK CAPITAL LETTER XI
0x56	0x039F	# GREEK CAPITAL LETTER OMICRON
0x57	0x03A0	# GREEK CAPITAL LETTER PI
0x58	0x03A1	# GREEK CAPITAL LETTER RHO
0x59	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x5A	0x005D	# RIGHT SQUARE BRACKET
0x5B	0x0024	# DOLLAR SIGN
0x5C	0x002A	# ASTERISK
0x5D	0x0029	# RIGHT PARENTHESIS
0x5E	0x003B	# SEMICOLON
0x5F	0x005E	# CIRCUMFLEX ACCENT
0x60	0x002D	# HYPHEN-MINUS
0x61	0x002F	# SOLIDUS
0x62	0x03A4	# GREEK CAPITAL LETTER TAU
0x63	0x03A5	# GREEK CAPITAL LETTER UPSILON
0x64	0x03A6	# GREEK CAPITAL LETTER PHI
0x65	0x03A7	# GREEK CAPITAL LETTER CHI
0x66	0x03A8	# GREEK CAPITAL LETTER PSI
0x67	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x68	0x03AA	# GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0x69	0x03AB	# GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0x6A	0x007C	# VERTICAL LINE
0x6B	0x002C	# COMMA
0x6C	0x0025	# PERCENT SIGN
0x6D	0x005F	# LOW LINE
0x6E	0x003E	# GREATER-THAN SIGN
0x6F	0x003F	# QUESTION MARK
0x70	0x00A8	# DIAERESIS
0x71	0x0386	# GREEK CAPITAL LETTER ALPHA WITH TONOS
0x72	0x0388	# GREEK CAPITAL LETTER EPSILON WITH TONOS
0x73	0x0389	# GREEK CAPITAL LETTER ETA WITH TONOS
0x74	0x00A0	# NO-BREAK SPACE
0x75	0x038A	# GREEK CAPITAL LETTER IOTA WITH TONOS
0x76	0x038C	# GREEK CAPITAL LETTER OMICRON WITH TONOS
0x77	0x038E	# GREEK CAPITAL LETTER UPSILON WITH TONOS
0x78	0x038F	# GREEK CAPITAL LETTER OMEGA WITH TONOS
0x79	0x0060	# GRAVE ACCENT
0x7A	0x003A	# COLON
0x7B	0x0023	# NUMBER SIGN
0x7C	0x0040	# COMMERCIAL AT
0x7D	0x0027	# APOSTROPHE
0x7E	0x003D	# EQUALS SIGN
0x7F	0x0022	# QUOTATION MARK
0x80	0x0385	# GREEK DIALYTIKA TONOS
@import	fragments/ebcdic-lc-ai.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER I
