@category	ISO 646
@name	ISO 646-CH
@alias	646-CH
@codepage	1021
@filename-kte	iso-646-ch.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x5C	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x5D	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x5E	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0x5F	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x60	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x7C	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x7D	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x7E	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
@import	fragments/ascii-del.txt	# DELETE
