@category	ISO 646
@name	ISO 646-DK
@alias	646-DK
@charset	ISO646-DK
@charset	dk
@charset	csISO646Danish
@charset	DS2089
@charset	DS_2089
@codepage	1017
@mibenum	99
@filename-kte	iso-646-dk.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x00A4	# CURRENCY SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x0040	# COMMERCIAL AT
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00C6	# LATIN CAPITAL LETTER AE
0x5C	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
0x5D	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0x5E	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00E6	# LATIN SMALL LETTER AE
0x7C	0x00F8	# LATIN SMALL LETTER O WITH STROKE
0x7D	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0x7E	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
@import	fragments/ascii-del.txt	# DELETE
