@category	ISO 646
@name	ISO 646-FR
@alias	646-FR
@alias	ISO IR-69
@alias	IR-69
@charset	iso-ir-69
@charset	ISO646-FR
@charset	fr
@charset	csISO69French
@charset	NF_Z_62-010
@codepage	1010
@mibenum	26
@filename-kte	iso-646-fr.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x00A3	# POUND SIGN
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00B0	# DEGREE SIGN
0x5C	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x5D	0x00A7	# SECTION SIGN
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x00B5	# MICRO SIGN
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x7C	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x7D	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x7E	0x00A8	# DIAERESIS
@import	fragments/ascii-del.txt	# DELETE
