@category	ISO 646
@name	ISO 646-HU
@alias	646-HU
@alias	ISO IR-86
@alias	IR-86
@charset	iso-ir-86
@charset	ISO646-HU
@charset	hu
@charset	csISO86Hungarian
@charset	MSZ_7795.3
@mibenum	62
@filename-kte	iso-646-hu.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x00A4	# CURRENCY SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x5C	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x5D	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x7C	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x7D	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x7E	0x02DD	# DOUBLE ACUTE ACCENT
@import	fragments/ascii-del.txt	# DELETE
