@category	ISO 646
@name	ISO 646-IE
@alias	646-IE
@alias	ISO IR-207
@alias	IR-207
@filename-kte	iso-646-ie.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x00A3	# POUND SIGN
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x5C	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0x5D	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0x5E	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0x5F	0x005F	# LOW LINE
0x60	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x7C	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0x7D	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0x7E	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
@import	fragments/ascii-del.txt	# DELETE
