@category	ISO 646
@name	ISO 646-IS
@alias	646-IS
@filename-kte	iso-646-is.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x00D0	# LATIN CAPITAL LETTER ETH
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x00DE	# LATIN CAPITAL LETTER THORN
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x00C6	# LATIN CAPITAL LETTER AE
0x5E	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x5F	0x005F	# LOW LINE
0x60	0x00F0	# LATIN SMALL LETTER ETH
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00FE	# LATIN SMALL LETTER THORN
0x7C	0x007C	# VERTICAL LINE
0x7D	0x00E6	# LATIN SMALL LETTER AE
0x7E	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
@import	fragments/ascii-del.txt	# DELETE
