@category	ISO 646
@name	ISO 646-PL
@alias	646-PL
@filename-kte	iso-646-pl.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x007A+0x0142	# LATIN SMALL LETTER Z, LATIN SMALL LETTER L WITH STROKE
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x0119	# LATIN SMALL LETTER E WITH OGONEK
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x017A	# LATIN SMALL LETTER Z WITH ACUTE
0x5C	0x005C+0x005C	# REVERSE SOLIDUS, REVERSE SOLIDUS
0x5D	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0x5E	0x015B	# LATIN SMALL LETTER S WITH ACUTE
0x5F	0x005F	# LOW LINE
0x60	0x0105	# LATIN SMALL LETTER A WITH OGONEK
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0x7C	0x0142	# LATIN SMALL LETTER L WITH STROKE
0x7D	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0x7E	0x0107	# LATIN SMALL LETTER C WITH ACUTE
@import	fragments/ascii-del.txt	# DELETE
