@category	ISO 646
@name	ISO 646-YU
@alias	646-YU
@alias	ISO IR-141
@alias	IR-141
@charset	iso-ir-141
@charset	ISO646-YU
@charset	js
@charset	yu
@charset	csISO141JUSIB1002
@charset	JUS_I.B1.002
@mibenum	87
@filename-kte	iso-646-yu.kte
@import	fragments/ascii-c0.txt	# NULL .. UNIT SEPARATOR
@import	fragments/ascii-sq.txt	# SPACE .. QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
@import	fragments/ascii-pq.txt	# PERCENT SIGN .. QUESTION MARK
0x40	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0x5C	0x0110	# LATIN CAPITAL LETTER D WITH STROKE
0x5D	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0x5E	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0x5F	0x005F	# LOW LINE
0x60	0x017E	# LATIN SMALL LETTER Z WITH CARON
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x0161	# LATIN SMALL LETTER S WITH CARON
0x7C	0x0111	# LATIN SMALL LETTER D WITH STROKE
0x7D	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0x7E	0x010D	# LATIN SMALL LETTER C WITH CARON
@import	fragments/ascii-del.txt	# DELETE
