@category	ISO 8859
@display	ISO 8859-16 (Latin-10)
@name	ISO 8859-16
@alias	8859-16
@alias	ISO Latin-10
@alias	Latin-10
@charset	iso-ir-226
@charset	ISO_8859-16:2001
@charset	ISO_8859-16
@charset	ISO-8859-16
@charset	latin10
@charset	l10
@charset	csISO885916
@mibenum	112
@cfstringencoding	528
@filename-kte	iso-8859-16.kte
@filename-txt	ISO8859/8859-16.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/ISO8859/8859-16.TXT
@cite-author	Markus Kuhn
@cite-title	ISO/IEC 8859-16:2001 to Unicode
@cite-publisher	Unicode, Inc.
@cite-date	26 July 2001
@cite-url	http://www.unicode.org/Public/MAPPINGS/ISO8859/8859-16.TXT
@cite-copyright	1999-2001 Unicode, Inc.
@import	fragments/ascii-all.txt
@import	fragments/latin1-c1.txt
0xA0	0x00A0	# NO-BREAK SPACE
0xA1	0x0104	# LATIN CAPITAL LETTER A WITH OGONEK
0xA2	0x0105	# LATIN SMALL LETTER A WITH OGONEK
0xA3	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0xA4	0x20AC	# EURO SIGN
0xA5	0x201E	# DOUBLE LOW-9 QUOTATION MARK
0xA6	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0xA7	0x00A7	# SECTION SIGN
0xA8	0x0161	# LATIN SMALL LETTER S WITH CARON
0xA9	0x00A9	# COPYRIGHT SIGN
0xAA	0x0218	# LATIN CAPITAL LETTER S WITH COMMA BELOW
0xAB	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAC	0x0179	# LATIN CAPITAL LETTER Z WITH ACUTE
0xAD	0x00AD	# SOFT HYPHEN
0xAE	0x017A	# LATIN SMALL LETTER Z WITH ACUTE
0xAF	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xB0	0x00B0	# DEGREE SIGN
0xB1	0x00B1	# PLUS-MINUS SIGN
0xB2	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0xB3	0x0142	# LATIN SMALL LETTER L WITH STROKE
0xB4	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0xB5	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xB6	0x00B6	# PILCROW SIGN
0xB7	0x00B7	# MIDDLE DOT
0xB8	0x017E	# LATIN SMALL LETTER Z WITH CARON
0xB9	0x010D	# LATIN SMALL LETTER C WITH CARON
0xBA	0x0219	# LATIN SMALL LETTER S WITH COMMA BELOW
0xBB	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xBC	0x0152	# LATIN CAPITAL LIGATURE OE
0xBD	0x0153	# LATIN SMALL LIGATURE OE
0xBE	0x0178	# LATIN CAPITAL LETTER Y WITH DIAERESIS
