@name	ISO/IEC 6937
@alias	ISO 6937
@alias	IEC 6937
@charset	x-cp20269
@codepage	20269
@filename-kte	iso-6937.kte
@import	fragments/ascii-all.txt
@import	fragments/latin1-c1.txt
0xA0	0x00A0	# NO-BREAK SPACE
0xA1	0x00A1	# INVERTED EXCLAMATION MARK
0xA2	0x00A2	# CENT SIGN
0xA3	0x00A3	# POUND SIGN

0xA5	0x00A5	# YEN SIGN

0xA7	0x00A7	# SECTION SIGN
0xA8	0x00A4	# CURRENCY SIGN
0xA9	0x2018	# LEFT SINGLE QUOTATION MARK
0xAA	0x201C	# LEFT DOUBLE QUOTATION MARK
0xAB	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAC	0x2190	# LEFTWARDS ARROW
0xAD	0x2191	# UPWARDS ARROW
0xAE	0x2192	# RIGHTWARDS ARROW
0xAF	0x2193	# DOWNWARDS ARROW
0xB0	0x00B0	# DEGREE SIGN
0xB1	0x00B1	# PLUS-MINUS SIGN
0xB2	0x00B2	# SUPERSCRIPT TWO
0xB3	0x00B3	# SUPERSCRIPT THREE
0xB4	0x00D7	# MULTIPLICATION SIGN
0xB5	0x00B5	# MICRO SIGN
0xB6	0x00B6	# PILCROW SIGN
0xB7	0x00B7	# MIDDLE DOT
0xB8	0x00F7	# DIVISION SIGN
0xB9	0x2019	# RIGHT SINGLE QUOTATION MARK
0xBA	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xBB	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xBC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xBD	0x00BD	# VULGAR FRACTION ONE HALF
0xBE	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xBF	0x00BF	# INVERTED QUESTION MARK

0xC120	0x02CB	# MODIFIER LETTER GRAVE ACCENT
0xC141	0x00C0	# LATIN CAPITAL LETTER A WITH GRAVE
0xC145	0x00C8	# LATIN CAPITAL LETTER E WITH GRAVE
0xC149	0x00CC	# LATIN CAPITAL LETTER I WITH GRAVE
0xC14F	0x00D2	# LATIN CAPITAL LETTER O WITH GRAVE
0xC155	0x00D9	# LATIN CAPITAL LETTER U WITH GRAVE
0xC161	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0xC165	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0xC169	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0xC16F	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0xC175	0x00F9	# LATIN SMALL LETTER U WITH GRAVE

0xC220	0x00B4	# ACUTE ACCENT
0xC241	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xC243	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0xC245	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0xC249	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xC24C	0x0139	# LATIN CAPITAL LETTER L WITH ACUTE
0xC24E	0x0143	# LATIN CAPITAL LETTER N WITH ACUTE
0xC24F	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xC252	0x0154	# LATIN CAPITAL LETTER R WITH ACUTE
0xC253	0x015A	# LATIN CAPITAL LETTER S WITH ACUTE
0xC255	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xC259	0x00DD	# LATIN CAPITAL LETTER Y WITH ACUTE
0xC25A	0x0179	# LATIN CAPITAL LETTER Z WITH ACUTE
0xC261	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xC263	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0xC265	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0xC267	0x0123	# LATIN SMALL LETTER G WITH CEDILLA
0xC269	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xC26C	0x013A	# LATIN SMALL LETTER L WITH ACUTE
0xC26E	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0xC26F	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
