@name	KPS-9566
@filename-kte	kps-9566.kte
@filename-txt	VENDORS/MISC/KPS9566.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/KPS9566.TXT
@cite-author	Unicode, Inc.
@cite-title	KPS 9566-2003 to Unicode
@cite-publisher	Unicode, Inc.
@cite-date	27 April 2011
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/KPS9566.TXT
@cite-copyright	2011 Unicode, Inc.
@import	fragments/ascii-all.txt
0x8141	0xAC03
0x8142	0xAC05
0x8143	0xAC06
0x8144	0xAC0B
0x8145	0xAC0C
0x8146	0xAC0D
0x8147	0xAC0E
0x8148	0xAC0F
0x8149	0xAC18
0x814A	0xAC02
0x814B	0xAC3B
0x814C	0xAC3D
0x814D	0xAC3E
0x814E	0xAC3F
0x814F	0xAC41
0x8150	0xAC42
0x8151	0xAC43
0x8152	0xAC44
0x8153	0xAC45
0x8154	0xAC46
0x8155	0xAC47
0x8156	0xAC49
0x8157	0xAC4A
0x8158	0xAC4E
0x8159	0xAC4F
0x815A	0xAC50
0x8161	0xAC51
0x8162	0xAC52
0x8163	0xAC53
0x8164	0xAC3A
0x8165	0xAC4C
0x8166	0xAC73
0x8167	0xAC75
0x8168	0xAC76
0x8169	0xAC7B
0x816A	0xAC7C
0x816B	0xAC7D
0x816C	0xAC7E
0x816D	0xAC7F
0x816E	0xAC82
0x816F	0xAC87
0x8170	0xAC88
0x8171	0xAC72
0x8172	0xACAB
0x8173	0xACAD
0x8174	0xACAE
0x8175	0xACB1
0x8176	0xACB2
0x8177	0xACB3
0x8178	0xACB4
0x8179	0xACB5
0x817A	0xACB6
0x8181	0xACB7
0x8182	0xACBA
0x8183	0xACBE
0x8184	0xACBF
0x8185	0xACC0
0x8186	0xACC2
0x8187	0xACC3
0x8188	0xACE3
0x8189	0xACE5
0x818A	0xACE6
0x818B	0xACE9
0x818C	0xACEB
0x818D	0xACED
0x818E	0xACEE
0x818F	0xACF2
0x8190	0xACF7
0x8191	0xACF8
0x8192	0xACF9
0x8193	0xACFB
0x8194	0xACE2
0x8195	0xACF4
0x8196	0xAD51
0x8197	0xAD53
0x8198	0xAD55
0x8199	0xAD56
0x819A	0xAD57
0x819B	0xAD59
0x819C	0xAD5A
0x819D	0xAD5B
0x819E	0xAD5C
0x819F	0xAD5D
0x81A0	0xAD5E
0x81A1	0xAD5F
0x81A2	0xAD60
0x81A3	0xAD62
0x81A4	0xAD65
0x81A5	0xAD66
0x81A6	0xAD67
0x81A7	0xAD68
0x81A8	0xAD69
0x81A9	0xAD6A
0x81AA	0xAD6B
0x81AB	0xAD52
0x81AC	0xAD64
0x81AD	0xAD6F
0x81AE	0xAD71
0x81AF	0xAD72
0x81B0	0xAD77
0x81B1	0xAD78
0x81B2	0xAD79
0x81B3	0xAD7A
0x81B4	0xAD7E
0x81B5	0xAD83
0x81B6	0xAD84
0x81B7	0xAD85
0x81B8	0xAD86
0x81B9	0xAD87
0x81BA	0xAD6E
0x81BB	0xAD80
0x81BC	0xADDD
0x81BD	0xADDF
0x81BE	0xADE1
0x81BF	0xADE2
0x81C0	0xADE3
0x81C1	0xADE5
0x81C2	0xADE6
0x81C3	0xADE7
0x81C4	0xADE8
0x81C5	0xADE9
0x81C6	0xADEA
0x81C7	0xADEB
0x81C8	0xADED
0x81C9	0xADEE
0x81CA	0xADEF
0x81CB	0xADF2
0x81CC	0xADF3
0x81CD	0xADF4
0x81CE	0xADF5
0x81CF	0xADF6
0x81D0	0xADF7
0x81D1	0xADDE
0x81D2	0xADF0
0x81D3	0xADFB
0x81D4	0xADFD
0x81D5	0xADFE
0x81D6	0xAE02
0x81D7	0xAE03
0x81D8	0xAE04
0x81D9	0xAE05
0x81DA	0xAE06
0x81DB	0xAE0A
0x81DC	0xAE0E
0x81DD	0xAE0F
0x81DE	0xAE10
0x81DF	0xAE11
0x81E0	0xAE12
0x81E1	0xAE13
0x81E2	0xADFA
0x81E3	0xAE0C
0x81E4	0xAE33
0x81E5	0xAE35
0x81E6	0xAE36
0x81E7	0xAE39
0x81E8	0xAE3B
0x81E9	0xAE3C
0x81EA	0xAE3D
0x81EB	0xAE3E
0x81EC	0xAE3F
0x81ED	0xAE42
0x81EE	0xAE48
0x81EF	0xAE4B
0x81F0	0xAE32
0x81F1	0xAE44
0x81F2	0xAC1F
0x81F3	0xAC21
0x81F4	0xAC22
0x81F5	0xAC23
0x81F6	0xAC25
0x81F7	0xAC26
0x81F8	0xAC27
0x81F9	0xAC28
0x81FA	0xAC29
0x81FB	0xAC2A
0x81FC	0xAC2B
0x81FD	0xAC2E
0x81FE	0xAC32
0x8241	0xAC33
0x8242	0xAC34
0x8243	0xAC35
0x8244	0xAC36
0x8245	0xAC37
0x8246	0xAC1E
0x8247	0xAC55
0x8248	0xAC57
0x8249	0xAC59
0x824A	0xAC5A
0x824B	0xAC5B
0x824C	0xAC5D
0x824D	0xAC5E
0x824E	0xAC5F
0x824F	0xAC60
0x8250	0xAC61
0x8251	0xAC62
0x8252	0xAC63
0x8253	0xAC64
0x8254	0xAC65
0x8255	0xAC66
0x8256	0xAC67
0x8257	0xAC69
0x8258	0xAC6A
0x8259	0xAC6B
0x825A	0xAC6C
0x8261	0xAC6D
0x8262	0xAC6E
0x8263	0xAC6F
0x8264	0xAC56
0x8265	0xAC68
0x8266	0xAC8F
0x8267	0xAC91
0x8268	0xAC92
0x8269	0xAC93
0x826A	0xAC95
0x826B	0xAC96
0x826C	0xAC97
0x826D	0xAC98
0x826E	0xAC99
0x826F	0xAC9A
0x8270	0xAC9B
0x8271	0xAC9E
0x8272	0xACA2
0x8273	0xACA3
0x8274	0xACA4
0x8275	0xACA5
0x8276	0xACA6
0x8277	0xACA7
0x8278	0xAC8E
0x8279	0xACC5
0x827A	0xACC7
0x8281	0xACC9
0x8282	0xACCA
0x8283	0xACCB
0x8284	0xACCD
0x8285	0xACCE
0x8286	0xACCF
0x8287	0xACD0
0x8288	0xACD1
0x8289	0xACD2
0x828A	0xACD3
0x828B	0xACD4
0x828C	0xACD6
0x828D	0xACD9
0x828E	0xACDA
0x828F	0xACDB
0x8290	0xACDC
0x8291	0xACDD
0x8292	0xACDE
0x8293	0xACDF
0x8294	0xACC6
0x8295	0xACD8
0x8296	0xAD37
0x8297	0xAD39
0x8298	0xAD3A
0x8299	0xAD3B
0x829A	0xAD3D
0x829B	0xAD3E
0x829C	0xAD3F
0x829D	0xAD40
0x829E	0xAD41
0x829F	0xAD42
0x82A0	0xAD43
0x82A1	0xAD46
0x82A2	0xAD4A
0x82A3	0xAD4B
0x82A4	0xAD4C
0x82A5	0xAD4D
0x82A6	0xAD4E
0x82A7	0xAD4F
0x82A8	0xAD36
0x82A9	0xADC3
0x82AA	0xADC5
0x82AB	0xADC6
0x82AC	0xADC7
0x82AD	0xADC9
0x82AE	0xADCA
0x82AF	0xADCB
0x82B0	0xADCC
0x82B1	0xADCD
0x82B2	0xADCE
0x82B3	0xADCF
0x82B4	0xADD2
0x82B5	0xADD5
0x82B6	0xADD6
0x82B7	0xADD7
0x82B8	0xADD8
0x82B9	0xADD9
0x82BA	0xADDA
0x82BB	0xADDB
0x82BC	0xADC2
0x82BD	0xADD4
0x82BE	0xAE15
0x82BF	0xAE17
0x82C0	0xAE18
0x82C1	0xAE19
0x82C2	0xAE1A
0x82C3	0xAE1B
0x82C4	0xAE1C
0x82C5	0xAE1D
0x82C6	0xAE1E
0x82C7	0xAE1F
0x82C8	0xAE20
0x82C9	0xAE21
0x82CA	0xAE22
0x82CB	0xAE23
0x82CC	0xAE24
0x82CD	0xAE25
0x82CE	0xAE26
0x82CF	0xAE27
0x82D0	0xAE29
0x82D1	0xAE2A
0x82D2	0xAE2B
0x82D3	0xAE2C
0x82D4	0xAE2D
0x82D5	0xAE2E
0x82D6	0xAE2F
0x82D7	0xAE16
0x82D8	0xAE28
0x82D9	0xACFF
0x82DA	0xAD01
0x82DB	0xAD02
0x82DC	0xAD05
0x82DD	0xAD07
0x82DE	0xAD08
0x82DF	0xAD09
0x82E0	0xAD0A
0x82E1	0xAD0B
0x82E2	0xAD0E
0x82E3	0xAD12
0x82E4	0xAD13
0x82E5	0xAD14
0x82E6	0xAD15
0x82E7	0xAD16
0x82E8	0xAD17
0x82E9	0xACFE
0x82EA	0xAD8B
0x82EB	0xAD8D
0x82EC	0xAD8E
0x82ED	0xAD8F
0x82EE	0xAD91
0x82EF	0xAD92
0x82F0	0xAD93
0x82F1	0xAD94
0x82F2	0xAD95
0x82F3	0xAD96
0x82F4	0xAD97
0x82F5	0xAD99
0x82F6	0xAD9A
0x82F7	0xAD9B
0x82F8	0xAD9E
0x82F9	0xAD9F
0x82FA	0xADA0
0x82FB	0xADA1
0x82FC	0xADA2
0x82FD	0xADA3
0x82FE	0xAD8A
0x8341	0xAD1B
0x8342	0xAD1D
0x8343	0xAD1E
0x8344	0xAD1F
0x8345	0xAD21
0x8346	0xAD22
0x8347	0xAD23
0x8348	0xAD24
0x8349	0xAD25
0x834A	0xAD26
0x834B	0xAD27
0x834C	0xAD28
0x834D	0xAD2A
0x834E	0xAD2B
0x834F	0xAD2E
0x8350	0xAD2F
0x8351	0xAD30
0x8352	0xAD31
0x8353	0xAD32
0x8354	0xAD33
0x8355	0xAD1A
0x8356	0xADA7
0x8357	0xADA8
0x8358	0xADA9
0x8359	0xADAA
0x835A	0xADAB
0x8361	0xADAC
0x8362	0xADAD
0x8363	0xADAE
0x8364	0xADAF
0x8365	0xADB0
0x8366	0xADB1
0x8367	0xADB2
0x8368	0xADB3
0x8369	0xADB4
0x836A	0xADB5
0x836B	0xADB6
0x836C	0xADB9
0x836D	0xADBA
0x836E	0xADBB
0x836F	0xADBC
0x8370	0xADBD
0x8371	0xADBE
0x8372	0xADBF
0x8373	0xADA6
0x8374	0xADB8
0x8375	0xB09D
0x8376	0xB09E
0x8377	0xB0A3
0x8378	0xB0A4
0x8379	0xB0A5
0x837A	0xB0A6
0x8381	0xB0A7
0x8382	0xB0AA
0x8383	0xB0B0
0x8384	0xB0B2
0x8385	0xB0D3
0x8386	0xB0D5
0x8387	0xB0D6
0x8388	0xB0D7
0x8389	0xB0D9
0x838A	0xB0DA
0x838B	0xB0DB
0x838C	0xB0DC
0x838D	0xB0DD
0x838E	0xB0DE
0x838F	0xB0DF
0x8390	0xB0E2
0x8391	0xB0E3
0x8392	0xB0E6
0x8393	0xB0E7
0x8394	0xB0E8
0x8395	0xB0E9
0x8396	0xB0EA
0x8397	0xB0EB
0x8398	0xB0D2
0x8399	0xB0E4
0x839A	0xB10D
0x839B	0xB10E
0x839C	0xB10F
0x839D	0xB111
0x839E	0xB114
0x839F	0xB115
0x83A0	0xB116
0x83A1	0xB117
0x83A2	0xB11A
0x83A3	0xB11E
0x83A4	0xB11F
0x83A5	0xB120
0x83A6	0xB121
0x83A7	0xB143
0x83A8	0xB145
0x83A9	0xB146
0x83AA	0xB147
0x83AB	0xB149
0x83AC	0xB14A
0x83AD	0xB14B
0x83AE	0xB14C
0x83AF	0xB14D
0x83B0	0xB14E
0x83B1	0xB14F
0x83B2	0xB152
0x83B3	0xB156
0x83B4	0xB157
0x83B5	0xB159
0x83B6	0xB15A
0x83B7	0xB15B
0x83B8	0xB142
0x83B9	0xB17B
0x83BA	0xB17D
0x83BB	0xB17E
0x83BC	0xB17F
0x83BD	0xB181
