@category	Adobe Systems
@name	Adobe Latin-1
@codepage	1277
@filename-kte	adobe-latin-1.kte
@import	fragments/ascii-all.txt
0x80	0x0080	# <control>
0x81	0x0081	# <control>
0x82	0x0082	# <control>
0x83	0x0083	# <control>
0x84	0x0084	# <control>
0x85	0x0085	# <control>
0x86	0x0086	# <control>
0x87	0x0087	# <control>
0x88	0x0088	# <control>
0x89	0x0089	# <control>
0x8A	0x008A	# <control>
0x8B	0x008B	# <control>
0x8C	0x008C	# <control>
0x8D	0x008D	# <control>
0x8E	0x008E	# <control>
0x8F	0x008F	# <control>
0x90	0x0131	# LATIN SMALL LETTER DOTLESS I
0x91	0x0300	# COMBINING GRAVE ACCENT
0x92	0x0301	# COMBINING ACUTE ACCENT
0x93	0x0302	# COMBINING CIRCUMFLEX ACCENT
0x94	0x0303	# COMBINING TILDE
0x95	0x0304	# COMBINING MACRON
0x96	0x0306	# COMBINING BREVE
0x97	0x0307	# COMBINING DOT ABOVE
0x98	0x0308	# COMBINING DIAERESIS
0x99	0x0099	# <control>
0x9A	0x030A	# COMBINING RING ABOVE
0x9B	0x0327	# COMBINING CEDILLA
0x9C	0x009C	# <control>
0x9D	0x030B	# COMBINING DOUBLE ACUTE ACCENT
0x9E	0x0328	# COMBINING OGONEK
0x9F	0x030C	# COMBINING CARON
@import	fragments/latin1-g1.txt
