@category	Mac OS Classic
@name	Mac OS Central European
@alias	MacCentralEuropean
@charset	x-mac-centraleurroman
@codepage	1282
@codepage	10029
@cfstringencoding	29
@filename-kte	maccentraleuropean.kte
@filename-txt	VENDORS/APPLE/CENTEURO.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/CENTEURO.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Central European character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	4 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/CENTEURO.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x81	0x0100	# LATIN CAPITAL LETTER A WITH MACRON
0x82	0x0101	# LATIN SMALL LETTER A WITH MACRON
0x83	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x84	0x0104	# LATIN CAPITAL LETTER A WITH OGONEK
0x85	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x86	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x87	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0x88	0x0105	# LATIN SMALL LETTER A WITH OGONEK
0x89	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0x8A	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x8B	0x010D	# LATIN SMALL LETTER C WITH CARON
0x8C	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0x8D	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0x8E	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x8F	0x0179	# LATIN CAPITAL LETTER Z WITH ACUTE
0x90	0x017A	# LATIN SMALL LETTER Z WITH ACUTE
0x91	0x010E	# LATIN CAPITAL LETTER D WITH CARON
0x92	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0x93	0x010F	# LATIN SMALL LETTER D WITH CARON
0x94	0x0112	# LATIN CAPITAL LETTER E WITH MACRON
0x95	0x0113	# LATIN SMALL LETTER E WITH MACRON
0x96	0x0116	# LATIN CAPITAL LETTER E WITH DOT ABOVE
0x97	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0x98	0x0117	# LATIN SMALL LETTER E WITH DOT ABOVE
0x99	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x9A	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x9B	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0x9C	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0x9D	0x011A	# LATIN CAPITAL LETTER E WITH CARON
0x9E	0x011B	# LATIN SMALL LETTER E WITH CARON
0x9F	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xA0	0x2020	# DAGGER
0xA1	0x00B0	# DEGREE SIGN
0xA2	0x0118	# LATIN CAPITAL LETTER E WITH OGONEK
0xA3	0x00A3	# POUND SIGN
0xA4	0x00A7	# SECTION SIGN
0xA5	0x2022	# BULLET
0xA6	0x00B6	# PILCROW SIGN
0xA7	0x00DF	# LATIN SMALL LETTER SHARP S
0xA8	0x00AE	# REGISTERED SIGN
0xA9	0x00A9	# COPYRIGHT SIGN
0xAA	0x2122	# TRADE MARK SIGN
0xAB	0x0119	# LATIN SMALL LETTER E WITH OGONEK
0xAC	0x00A8	# DIAERESIS
0xAD	0x2260	# NOT EQUAL TO
0xAE	0x0123	# LATIN SMALL LETTER G WITH CEDILLA
0xAF	0x012E	# LATIN CAPITAL LETTER I WITH OGONEK
0xB0	0x012F	# LATIN SMALL LETTER I WITH OGONEK
0xB1	0x012A	# LATIN CAPITAL LETTER I WITH MACRON
0xB2	0x2264	# LESS-THAN OR EQUAL TO
0xB3	0x2265	# GREATER-THAN OR EQUAL TO
0xB4	0x012B	# LATIN SMALL LETTER I WITH MACRON
0xB5	0x0136	# LATIN CAPITAL LETTER K WITH CEDILLA
0xB6	0x2202	# PARTIAL DIFFERENTIAL
0xB7	0x2211	# N-ARY SUMMATION
0xB8	0x0142	# LATIN SMALL LETTER L WITH STROKE
0xB9	0x013B	# LATIN CAPITAL LETTER L WITH CEDILLA
0xBA	0x013C	# LATIN SMALL LETTER L WITH CEDILLA
0xBB	0x013D	# LATIN CAPITAL LETTER L WITH CARON
0xBC	0x013E	# LATIN SMALL LETTER L WITH CARON
0xBD	0x0139	# LATIN CAPITAL LETTER L WITH ACUTE
0xBE	0x013A	# LATIN SMALL LETTER L WITH ACUTE
0xBF	0x0145	# LATIN CAPITAL LETTER N WITH CEDILLA
0xC0	0x0146	# LATIN SMALL LETTER N WITH CEDILLA
0xC1	0x0143	# LATIN CAPITAL LETTER N WITH ACUTE
0xC2	0x00AC	# NOT SIGN
0xC3	0x221A	# SQUARE ROOT
0xC4	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0xC5	0x0147	# LATIN CAPITAL LETTER N WITH CARON
0xC6	0x2206	# INCREMENT
0xC7	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC8	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC9	0x2026	# HORIZONTAL ELLIPSIS
0xCA	0x00A0	# NO-BREAK SPACE
0xCB	0x0148	# LATIN SMALL LETTER N WITH CARON
0xCC	0x0150	# LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0xCD	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
0xCE	0x0151	# LATIN SMALL LETTER O WITH DOUBLE ACUTE
0xCF	0x014C	# LATIN CAPITAL LETTER O WITH MACRON
0xD0	0x2013	# EN DASH
0xD1	0x2014	# EM DASH
0xD2	0x201C	# LEFT DOUBLE QUOTATION MARK
0xD3	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xD4	0x2018	# LEFT SINGLE QUOTATION MARK
0xD5	0x2019	# RIGHT SINGLE QUOTATION MARK
0xD6	0x00F7	# DIVISION SIGN
0xD7	0x25CA	# LOZENGE
0xD8	0x014D	# LATIN SMALL LETTER O WITH MACRON
0xD9	0x0154	# LATIN CAPITAL LETTER R WITH ACUTE
0xDA	0x0155	# LATIN SMALL LETTER R WITH ACUTE
0xDB	0x0158	# LATIN CAPITAL LETTER R WITH CARON
0xDC	0x2039	# SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0xDD	0x203A	# SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0xDE	0x0159	# LATIN SMALL LETTER R WITH CARON
0xDF	0x0156	# LATIN CAPITAL LETTER R WITH CEDILLA
0xE0	0x0157	# LATIN SMALL LETTER R WITH CEDILLA
0xE1	0x0160	# LATIN CAPITAL LETTER S WITH CARON
