@category	Mac OS Classic
@name	Mac OS Devanagari
@alias	MacDevanagari
@charset	x-mac-devanagari
@cfstringencoding	9
@filename-kte	macdevanagari.kte
@filename-txt	VENDORS/APPLE/DEVANAGA.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/DEVANAGA.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Devanagari character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/DEVANAGA.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x00D7	# MULTIPLICATION SIGN
0x81	0x2212	# MINUS SIGN
0x82	0x2013	# EN DASH
0x83	0x2014	# EM DASH
0x84	0x2018	# LEFT SINGLE QUOTATION MARK
0x85	0x2019	# RIGHT SINGLE QUOTATION MARK
0x86	0x2026	# HORIZONTAL ELLIPSIS
0x87	0x2022	# BULLET
0x88	0x00A9	# COPYRIGHT SIGN
0x89	0x00AE	# REGISTERED SIGN
0x8A	0x2122	# TRADE MARK SIGN
0x90	0x0965	# DEVANAGARI DOUBLE DANDA
0x91	0x0970	# DEVANAGARI ABBREVIATION SIGN
0xA1	0x0901	# DEVANAGARI SIGN CANDRABINDU
0xA1E9	0x0950	# DEVANAGARI OM
0xA2	0x0902	# DEVANAGARI SIGN ANUSVARA
0xA3	0x0903	# DEVANAGARI SIGN VISARGA
0xA4	0x0905	# DEVANAGARI LETTER A
0xA5	0x0906	# DEVANAGARI LETTER AA
0xA6	0x0907	# DEVANAGARI LETTER I
0xA6E9	0x090C	# DEVANAGARI LETTER VOCALIC L
0xA7	0x0908	# DEVANAGARI LETTER II
0xA7E9	0x0961	# DEVANAGARI LETTER VOCALIC LL
0xA8	0x0909	# DEVANAGARI LETTER U
0xA9	0x090A	# DEVANAGARI LETTER UU
0xAA	0x090B	# DEVANAGARI LETTER VOCALIC R
0xAAE9	0x0960	# DEVANAGARI LETTER VOCALIC RR
0xAB	0x090E	# DEVANAGARI LETTER SHORT E
0xAC	0x090F	# DEVANAGARI LETTER E
0xAD	0x0910	# DEVANAGARI LETTER AI
0xAE	0x090D	# DEVANAGARI LETTER CANDRA E
0xAF	0x0912	# DEVANAGARI LETTER SHORT O
0xB0	0x0913	# DEVANAGARI LETTER O
0xB1	0x0914	# DEVANAGARI LETTER AU
0xB2	0x0911	# DEVANAGARI LETTER CANDRA O
0xB3	0x0915	# DEVANAGARI LETTER KA
0xB4	0x0916	# DEVANAGARI LETTER KHA
0xB5	0x0917	# DEVANAGARI LETTER GA
0xB6	0x0918	# DEVANAGARI LETTER GHA
0xB7	0x0919	# DEVANAGARI LETTER NGA
0xB8	0x091A	# DEVANAGARI LETTER CA
0xB9	0x091B	# DEVANAGARI LETTER CHA
0xBA	0x091C	# DEVANAGARI LETTER JA
0xBB	0x091D	# DEVANAGARI LETTER JHA
0xBC	0x091E	# DEVANAGARI LETTER NYA
0xBD	0x091F	# DEVANAGARI LETTER TTA
0xBE	0x0920	# DEVANAGARI LETTER TTHA
0xBF	0x0921	# DEVANAGARI LETTER DDA
0xC0	0x0922	# DEVANAGARI LETTER DDHA
0xC1	0x0923	# DEVANAGARI LETTER NNA
0xC2	0x0924	# DEVANAGARI LETTER TA
0xC3	0x0925	# DEVANAGARI LETTER THA
0xC4	0x0926	# DEVANAGARI LETTER DA
0xC5	0x0927	# DEVANAGARI LETTER DHA
0xC6	0x0928	# DEVANAGARI LETTER NA
0xC7	0x0929	# DEVANAGARI LETTER NNNA
0xC8	0x092A	# DEVANAGARI LETTER PA
0xC9	0x092B	# DEVANAGARI LETTER PHA
0xCA	0x092C	# DEVANAGARI LETTER BA
0xCB	0x092D	# DEVANAGARI LETTER BHA
0xCC	0x092E	# DEVANAGARI LETTER MA
0xCD	0x092F	# DEVANAGARI LETTER YA
0xCE	0x095F	# DEVANAGARI LETTER YYA
0xCF	0x0930	# DEVANAGARI LETTER RA
0xD0	0x0931	# DEVANAGARI LETTER RRA
0xD1	0x0932	# DEVANAGARI LETTER LA
0xD2	0x0933	# DEVANAGARI LETTER LLA
0xD3	0x0934	# DEVANAGARI LETTER LLLA
0xD4	0x0935	# DEVANAGARI LETTER VA
0xD5	0x0936	# DEVANAGARI LETTER SHA
0xD6	0x0937	# DEVANAGARI LETTER SSA
0xD7	0x0938	# DEVANAGARI LETTER SA
0xD8	0x0939	# DEVANAGARI LETTER HA
0xD9	0x200E	# LEFT-TO-RIGHT MARK
0xDA	0x093E	# DEVANAGARI VOWEL SIGN AA
0xDB	0x093F	# DEVANAGARI VOWEL SIGN I
