@category	Mac OS Classic
@name	Mac OS Greek
@alias	MacGreek
@filename-kte	macgreek.kte
@filename-txt	VENDORS/APPLE/GREEK.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GREEK.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Greek character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GREEK.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x81	0x00B9	# SUPERSCRIPT ONE
0x82	0x00B2	# SUPERSCRIPT TWO
0x83	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x84	0x00B3	# SUPERSCRIPT THREE
0x85	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x86	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x87	0x0385	# GREEK DIALYTIKA TONOS
0x88	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0x89	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0x8A	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x8B	0x0384	# GREEK TONOS
0x8C	0x00A8	# DIAERESIS
0x8D	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x8E	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x8F	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x90	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x91	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0x92	0x00A3	# POUND SIGN
0x93	0x2122	# TRADE MARK SIGN
0x94	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0x95	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0x96	0x2022	# BULLET
0x97	0x00BD	# VULGAR FRACTION ONE HALF
0x98	0x2030	# PER MILLE SIGN
0x99	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x9A	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x9B	0x00A6	# BROKEN BAR
0x9C	0x20AC	# EURO SIGN
0x9D	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x9E	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0x9F	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xA0	0x2020	# DAGGER
0xA1	0x0393	# GREEK CAPITAL LETTER GAMMA
0xA2	0x0394	# GREEK CAPITAL LETTER DELTA
0xA3	0x0398	# GREEK CAPITAL LETTER THETA
0xA4	0x039B	# GREEK CAPITAL LETTER LAMDA
0xA5	0x039E	# GREEK CAPITAL LETTER XI
0xA6	0x03A0	# GREEK CAPITAL LETTER PI
0xA7	0x00DF	# LATIN SMALL LETTER SHARP S
0xA8	0x00AE	# REGISTERED SIGN
0xA9	0x00A9	# COPYRIGHT SIGN
0xAA	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xAB	0x03AA	# GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0xAC	0x00A7	# SECTION SIGN
0xAD	0x2260	# NOT EQUAL TO
0xAE	0x00B0	# DEGREE SIGN
0xAF	0x00B7	# MIDDLE DOT
