@category	Mac OS Classic
@name	Mac OS Gujarati
@alias	MacGujarati
@charset	x-mac-gujarati
@codepage	10011
@cfstringencoding	11
@filename-kte	macgujarati.kte
@filename-txt	VENDORS/APPLE/GUJARATI.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GUJARATI.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Gujarati character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GUJARATI.TXT
@cite-copyright	1997-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x00D7	# MULTIPLICATION SIGN
0x81	0x2212	# MINUS SIGN
0x82	0x2013	# EN DASH
0x83	0x2014	# EM DASH
0x84	0x2018	# LEFT SINGLE QUOTATION MARK
0x85	0x2019	# RIGHT SINGLE QUOTATION MARK
0x86	0x2026	# HORIZONTAL ELLIPSIS
0x87	0x2022	# BULLET
0x88	0x00A9	# COPYRIGHT SIGN
0x89	0x00AE	# REGISTERED SIGN
0x8A	0x2122	# TRADE MARK SIGN
0x90	0x0965	# DEVANAGARI DOUBLE DANDA
0xA1	0x0A81	# GUJARATI SIGN CANDRABINDU
0xA1E9	0x0AD0	# GUJARATI OM
0xA2	0x0A82	# GUJARATI SIGN ANUSVARA
0xA3	0x0A83	# GUJARATI SIGN VISARGA
0xA4	0x0A85	# GUJARATI LETTER A
0xA5	0x0A86	# GUJARATI LETTER AA
0xA6	0x0A87	# GUJARATI LETTER I
0xA7	0x0A88	# GUJARATI LETTER II
0xA8	0x0A89	# GUJARATI LETTER U
0xA9	0x0A8A	# GUJARATI LETTER UU
0xAA	0x0A8B	# GUJARATI LETTER VOCALIC R
0xAAE9	0x0AE0	# GUJARATI LETTER VOCALIC RR
0xAC	0x0A8F	# GUJARATI LETTER E
0xAD	0x0A90	# GUJARATI LETTER AI
0xAE	0x0A8D	# GUJARATI VOWEL CANDRA E
0xB0	0x0A93	# GUJARATI LETTER O
0xB1	0x0A94	# GUJARATI LETTER AU
0xB2	0x0A91	# GUJARATI VOWEL CANDRA O
0xB3	0x0A95	# GUJARATI LETTER KA
0xB4	0x0A96	# GUJARATI LETTER KHA
0xB5	0x0A97	# GUJARATI LETTER GA
0xB6	0x0A98	# GUJARATI LETTER GHA
0xB7	0x0A99	# GUJARATI LETTER NGA
0xB8	0x0A9A	# GUJARATI LETTER CA
0xB9	0x0A9B	# GUJARATI LETTER CHA
0xBA	0x0A9C	# GUJARATI LETTER JA
0xBB	0x0A9D	# GUJARATI LETTER JHA
0xBC	0x0A9E	# GUJARATI LETTER NYA
0xBD	0x0A9F	# GUJARATI LETTER TTA
0xBE	0x0AA0	# GUJARATI LETTER TTHA
0xBF	0x0AA1	# GUJARATI LETTER DDA
0xC0	0x0AA2	# GUJARATI LETTER DDHA
0xC1	0x0AA3	# GUJARATI LETTER NNA
0xC2	0x0AA4	# GUJARATI LETTER TA
0xC3	0x0AA5	# GUJARATI LETTER THA
0xC4	0x0AA6	# GUJARATI LETTER DA
0xC5	0x0AA7	# GUJARATI LETTER DHA
0xC6	0x0AA8	# GUJARATI LETTER NA
0xC8	0x0AAA	# GUJARATI LETTER PA
0xC9	0x0AAB	# GUJARATI LETTER PHA
0xCA	0x0AAC	# GUJARATI LETTER BA
0xCB	0x0AAD	# GUJARATI LETTER BHA
0xCC	0x0AAE	# GUJARATI LETTER MA
0xCD	0x0AAF	# GUJARATI LETTER YA
0xCF	0x0AB0	# GUJARATI LETTER RA
0xD1	0x0AB2	# GUJARATI LETTER LA
0xD2	0x0AB3	# GUJARATI LETTER LLA
0xD4	0x0AB5	# GUJARATI LETTER VA
0xD5	0x0AB6	# GUJARATI LETTER SHA
0xD6	0x0AB7	# GUJARATI LETTER SSA
0xD7	0x0AB8	# GUJARATI LETTER SA
0xD8	0x0AB9	# GUJARATI LETTER HA
0xD9	0x200E	# LEFT-TO-RIGHT MARK
0xDA	0x0ABE	# GUJARATI VOWEL SIGN AA
0xDB	0x0ABF	# GUJARATI VOWEL SIGN I
0xDC	0x0AC0	# GUJARATI VOWEL SIGN II
0xDD	0x0AC1	# GUJARATI VOWEL SIGN U
0xDE	0x0AC2	# GUJARATI VOWEL SIGN UU
0xDF	0x0AC3	# GUJARATI VOWEL SIGN VOCALIC R
0xDFE9	0x0AC4	# GUJARATI VOWEL SIGN VOCALIC RR
0xE1	0x0AC7	# GUJARATI VOWEL SIGN E
0xE2	0x0AC8	# GUJARATI VOWEL SIGN AI
0xE3	0x0AC5	# GUJARATI VOWEL SIGN CANDRA E
0xE5	0x0ACB	# GUJARATI VOWEL SIGN O
