@category	Mac OS Classic
@name	Mac OS Gurmukhi
@alias	MacGurmukhi
@charset	x-mac-gurmukhi
@cfstringencoding	10
@filename-kte	macgurmukhi.kte
@filename-txt	VENDORS/APPLE/GURMUKHI.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GURMUKHI.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Gurmukhi character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GURMUKHI.TXT
@cite-copyright	1997-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x00D7	# MULTIPLICATION SIGN
0x81	0x2212	# MINUS SIGN
0x82	0x2013	# EN DASH
0x83	0x2014	# EM DASH
0x84	0x2018	# LEFT SINGLE QUOTATION MARK
0x85	0x2019	# RIGHT SINGLE QUOTATION MARK
0x86	0x2026	# HORIZONTAL ELLIPSIS
0x87	0x2022	# BULLET
0x88	0x00A9	# COPYRIGHT SIGN
0x89	0x00AE	# REGISTERED SIGN
0x8A	0x2122	# TRADE MARK SIGN
0x90	0x0A71	# GURMUKHI ADDAK
0x91	0x0A5C	# GURMUKHI LETTER RRA
0x92	0x0A73	# GURMUKHI URA
0x93	0x0A72	# GURMUKHI IRI
0x94	0x0A74	# GURMUKHI EK ONKAR
0xA2	0x0A02	# GURMUKHI SIGN BINDI
0xA4	0x0A05	# GURMUKHI LETTER A
0xA5	0x0A06	# GURMUKHI LETTER AA
0xA6	0x0A07	# GURMUKHI LETTER I
0xA7	0x0A08	# GURMUKHI LETTER II
0xA8	0x0A09	# GURMUKHI LETTER U
0xA9	0x0A0A	# GURMUKHI LETTER UU
0xAC	0x0A0F	# GURMUKHI LETTER EE
0xAD	0x0A10	# GURMUKHI LETTER AI
0xB0	0x0A13	# GURMUKHI LETTER OO
0xB1	0x0A14	# GURMUKHI LETTER AU
0xB3	0x0A15	# GURMUKHI LETTER KA
0xB4	0x0A16	# GURMUKHI LETTER KHA
0xB5	0x0A17	# GURMUKHI LETTER GA
0xB6	0x0A18	# GURMUKHI LETTER GHA
0xB7	0x0A19	# GURMUKHI LETTER NGA
0xB8	0x0A1A	# GURMUKHI LETTER CA
0xB9	0x0A1B	# GURMUKHI LETTER CHA
0xBA	0x0A1C	# GURMUKHI LETTER JA
0xBB	0x0A1D	# GURMUKHI LETTER JHA
0xBC	0x0A1E	# GURMUKHI LETTER NYA
0xBD	0x0A1F	# GURMUKHI LETTER TTA
0xBE	0x0A20	# GURMUKHI LETTER TTHA
0xBF	0x0A21	# GURMUKHI LETTER DDA
0xC0	0x0A22	# GURMUKHI LETTER DDHA
0xC1	0x0A23	# GURMUKHI LETTER NNA
0xC2	0x0A24	# GURMUKHI LETTER TA
0xC3	0x0A25	# GURMUKHI LETTER THA
0xC4	0x0A26	# GURMUKHI LETTER DA
0xC5	0x0A27	# GURMUKHI LETTER DHA
0xC6	0x0A28	# GURMUKHI LETTER NA
0xC8	0x0A2A	# GURMUKHI LETTER PA
0xC9	0x0A2B	# GURMUKHI LETTER PHA
0xCA	0x0A2C	# GURMUKHI LETTER BA
0xCB	0x0A2D	# GURMUKHI LETTER BHA
0xCC	0x0A2E	# GURMUKHI LETTER MA
0xCD	0x0A2F	# GURMUKHI LETTER YA
0xCF	0x0A30	# GURMUKHI LETTER RA
0xD1	0x0A32	# GURMUKHI LETTER LA
0xD4	0x0A35	# GURMUKHI LETTER VA
0xD5	0xF860+0x0A38+0x0A3C	# GURMUKHI LETTER SA, GURMUKHI SIGN NUKTA
0xD7	0x0A38	# GURMUKHI LETTER SA
0xD8	0x0A39	# GURMUKHI LETTER HA
0xD9	0x200E	# LEFT-TO-RIGHT MARK
0xDA	0x0A3E	# GURMUKHI VOWEL SIGN AA
0xDB	0x0A3F	# GURMUKHI VOWEL SIGN I
0xDC	0x0A40	# GURMUKHI VOWEL SIGN II
0xDD	0x0A41	# GURMUKHI VOWEL SIGN U
0xDE	0x0A42	# GURMUKHI VOWEL SIGN UU
0xE1	0x0A47	# GURMUKHI VOWEL SIGN EE
0xE2	0x0A48	# GURMUKHI VOWEL SIGN AI
0xE5	0x0A4B	# GURMUKHI VOWEL SIGN OO
0xE6	0x0A4C	# GURMUKHI VOWEL SIGN AU
0xE8	0x0A4D	# GURMUKHI SIGN VIRAMA
0xE8E8	0x0A4D+0x200C	# GURMUKHI SIGN VIRAMA, ZERO WIDTH NON-JOINER
0xE8E9	0x0A4D+0x200D	# GURMUKHI SIGN VIRAMA, ZERO WIDTH JOINER
0xE9	0x0A3C	# GURMUKHI SIGN NUKTA
0xEA	0x0964	# DEVANAGARI DANDA
0xF1	0x0A66	# GURMUKHI DIGIT ZERO
0xF2	0x0A67	# GURMUKHI DIGIT ONE
0xF3	0x0A68	# GURMUKHI DIGIT TWO
0xF4	0x0A69	# GURMUKHI DIGIT THREE
0xF5	0x0A6A	# GURMUKHI DIGIT FOUR
0xF6	0x0A6B	# GURMUKHI DIGIT FIVE
0xF7	0x0A6C	# GURMUKHI DIGIT SIX
0xF8	0x0A6D	# GURMUKHI DIGIT SEVEN
0xF9	0x0A6E	# GURMUKHI DIGIT EIGHT
0xFA	0x0A6F	# GURMUKHI DIGIT NINE
