@category	Mac OS Classic
@name	Mac OS Inuit
@alias	MacInuit
@filename-kte	macinuit.kte
@filename-txt	VENDORS/APPLE/INUIT.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/INUIT.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Inuit character set to Unicode 3.0 and later.
@cite-publisher	Apple, Inc.
@cite-date	1 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/INUIT.TXT
@cite-copyright	2005 Apple, Inc.
@import	fragments/ascii-all.txt
0x80	0x1403	# CANADIAN SYLLABICS I
0x81	0x1404	# CANADIAN SYLLABICS II
0x82	0x1405	# CANADIAN SYLLABICS O
0x83	0x1406	# CANADIAN SYLLABICS OO
0x84	0x140A	# CANADIAN SYLLABICS A
0x85	0x140B	# CANADIAN SYLLABICS AA
0x86	0x1431	# CANADIAN SYLLABICS PI
0x87	0x1432	# CANADIAN SYLLABICS PII
0x88	0x1433	# CANADIAN SYLLABICS PO
0x89	0x1434	# CANADIAN SYLLABICS POO
0x8A	0x1438	# CANADIAN SYLLABICS PA
0x8B	0x1439	# CANADIAN SYLLABICS PAA
0x8C	0x1449	# CANADIAN SYLLABICS P
0x8D	0x144E	# CANADIAN SYLLABICS TI
0x8E	0x144F	# CANADIAN SYLLABICS TII
0x8F	0x1450	# CANADIAN SYLLABICS TO
0x90	0x1451	# CANADIAN SYLLABICS TOO
0x91	0x1455	# CANADIAN SYLLABICS TA
0x92	0x1456	# CANADIAN SYLLABICS TAA
0x93	0x1466	# CANADIAN SYLLABICS T
0x94	0x146D	# CANADIAN SYLLABICS KI
0x95	0x146E	# CANADIAN SYLLABICS KII
0x96	0x146F	# CANADIAN SYLLABICS KO
0x97	0x1470	# CANADIAN SYLLABICS KOO
0x98	0x1472	# CANADIAN SYLLABICS KA
0x99	0x1473	# CANADIAN SYLLABICS KAA
0x9A	0x1483	# CANADIAN SYLLABICS K
0x9B	0x148B	# CANADIAN SYLLABICS CI
0x9C	0x148C	# CANADIAN SYLLABICS CII
0x9D	0x148D	# CANADIAN SYLLABICS CO
0x9E	0x148E	# CANADIAN SYLLABICS COO
0x9F	0x1490	# CANADIAN SYLLABICS CA
0xA0	0x1491	# CANADIAN SYLLABICS CAA
0xA1	0x00B0	# DEGREE SIGN
0xA2	0x14A1	# CANADIAN SYLLABICS C
0xA3	0x14A5	# CANADIAN SYLLABICS MI
0xA4	0x14A6	# CANADIAN SYLLABICS MII
0xA5	0x2022	# BULLET
0xA6	0x00B6	# PILCROW SIGN
0xA7	0x14A7	# CANADIAN SYLLABICS MO
0xA8	0x00AE	# REGISTERED SIGN
0xA9	0x00A9	# COPYRIGHT SIGN
0xAA	0x2122	# TRADE MARK SIGN
0xAB	0x14A8	# CANADIAN SYLLABICS MOO
0xAC	0x14AA	# CANADIAN SYLLABICS MA
0xAD	0x14AB	# CANADIAN SYLLABICS MAA
0xAE	0x14BB	# CANADIAN SYLLABICS M
0xAF	0x14C2	# CANADIAN SYLLABICS NI
0xB0	0x14C3	# CANADIAN SYLLABICS NII
0xB1	0x14C4	# CANADIAN SYLLABICS NO
0xB2	0x14C5	# CANADIAN SYLLABICS NOO
0xB3	0x14C7	# CANADIAN SYLLABICS NA
0xB4	0x14C8	# CANADIAN SYLLABICS NAA
0xB5	0x14D0	# CANADIAN SYLLABICS N
0xB6	0x14EF	# CANADIAN SYLLABICS SI
0xB7	0x14F0	# CANADIAN SYLLABICS SII
0xB8	0x14F1	# CANADIAN SYLLABICS SO
0xB9	0x14F2	# CANADIAN SYLLABICS SOO
0xBA	0x14F4	# CANADIAN SYLLABICS SA
0xBB	0x14F5	# CANADIAN SYLLABICS SAA
0xBC	0x1505	# CANADIAN SYLLABICS S
0xBD	0x14D5	# CANADIAN SYLLABICS LI
0xBE	0x14D6	# CANADIAN SYLLABICS LII
0xBF	0x14D7	# CANADIAN SYLLABICS LO
0xC0	0x14D8	# CANADIAN SYLLABICS LOO
0xC1	0x14DA	# CANADIAN SYLLABICS LA
0xC2	0x14DB	# CANADIAN SYLLABICS LAA
0xC3	0x14EA	# CANADIAN SYLLABICS L
0xC4	0x1528	# CANADIAN SYLLABICS YI
0xC5	0x1529	# CANADIAN SYLLABICS YII
0xC6	0x152A	# CANADIAN SYLLABICS YO
0xC7	0x152B	# CANADIAN SYLLABICS YOO
