@category	IBM
@display	CP1006 (IBM Arabic)
@name	CP1006
@alias	IBM CP1006
@alias	IBM Arabic
@codepage	1006
@filename-kte	cp1006.kte
@filename-txt	VENDORS/MISC/CP1006.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/CP1006.TXT
@cite-author	Ken Whistler
@cite-title	IBM CP1006 to Unicode
@cite-publisher	Unicode, Inc.
@cite-date	27 July 1999
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/CP1006.TXT
@cite-copyright	1998-1999 Unicode, Inc.
@import	fragments/ascii-all.txt
@import	fragments/latin1-c1.txt
0xA0	0x00A0	# NO-BREAK SPACE
0xA1	0x06F0	# EXTENDED ARABIC-INDIC DIGIT ZERO
0xA2	0x06F1	# EXTENDED ARABIC-INDIC DIGIT ONE
0xA3	0x06F2	# EXTENDED ARABIC-INDIC DIGIT TWO
0xA4	0x06F3	# EXTENDED ARABIC-INDIC DIGIT THREE
0xA5	0x06F4	# EXTENDED ARABIC-INDIC DIGIT FOUR
0xA6	0x06F5	# EXTENDED ARABIC-INDIC DIGIT FIVE
0xA7	0x06F6	# EXTENDED ARABIC-INDIC DIGIT SIX
0xA8	0x06F7	# EXTENDED ARABIC-INDIC DIGIT SEVEN
0xA9	0x06F8	# EXTENDED ARABIC-INDIC DIGIT EIGHT
0xAA	0x06F9	# EXTENDED ARABIC-INDIC DIGIT NINE
0xAB	0x060C	# ARABIC COMMA
0xAC	0x061B	# ARABIC SEMICOLON
0xAD	0x00AD	# SOFT HYPHEN
0xAE	0x061F	# ARABIC QUESTION MARK
0xAF	0xFE81	# ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
0xB0	0xFE8D	# ARABIC LETTER ALEF ISOLATED FORM
0xB1	0xFE8E	# ARABIC LETTER ALEF FINAL FORM
0xB2	0xFE8E	# ARABIC LETTER ALEF FINAL FORM
0xB3	0xFE8F	# ARABIC LETTER BEH ISOLATED FORM
0xB4	0xFE91	# ARABIC LETTER BEH INITIAL FORM
0xB5	0xFB56	# ARABIC LETTER PEH ISOLATED FORM
0xB6	0xFB58	# ARABIC LETTER PEH INITIAL FORM
0xB7	0xFE93	# ARABIC LETTER TEH MARBUTA ISOLATED FORM
0xB8	0xFE95	# ARABIC LETTER TEH ISOLATED FORM
0xB9	0xFE97	# ARABIC LETTER TEH INITIAL FORM
0xBA	0xFB66	# ARABIC LETTER TTEH ISOLATED FORM
0xBB	0xFB68	# ARABIC LETTER TTEH INITIAL FORM
0xBC	0xFE99	# ARABIC LETTER THEH ISOLATED FORM
0xBD	0xFE9B	# ARABIC LETTER THEH INITIAL FORM
0xBE	0xFE9D	# ARABIC LETTER JEEM ISOLATED FORM
0xBF	0xFE9F	# ARABIC LETTER JEEM INITIAL FORM
0xC0	0xFB7A	# ARABIC LETTER TCHEH ISOLATED FORM
0xC1	0xFB7C	# ARABIC LETTER TCHEH INITIAL FORM
0xC2	0xFEA1	# ARABIC LETTER HAH ISOLATED FORM
0xC3	0xFEA3	# ARABIC LETTER HAH INITIAL FORM
0xC4	0xFEA5	# ARABIC LETTER KHAH ISOLATED FORM
0xC5	0xFEA7	# ARABIC LETTER KHAH INITIAL FORM
0xC6	0xFEA9	# ARABIC LETTER DAL ISOLATED FORM
0xC7	0xFB84	# ARABIC LETTER DAHAL ISOLATED FORM
0xC8	0xFEAB	# ARABIC LETTER THAL ISOLATED FORM
0xC9	0xFEAD	# ARABIC LETTER REH ISOLATED FORM
0xCA	0xFB8C	# ARABIC LETTER RREH ISOLATED FORM
0xCB	0xFEAF	# ARABIC LETTER ZAIN ISOLATED FORM
0xCC	0xFB8A	# ARABIC LETTER JEH ISOLATED FORM
0xCD	0xFEB1	# ARABIC LETTER SEEN ISOLATED FORM
0xCE	0xFEB3	# ARABIC LETTER SEEN INITIAL FORM
0xCF	0xFEB5	# ARABIC LETTER SHEEN ISOLATED FORM
0xD0	0xFEB7	# ARABIC LETTER SHEEN INITIAL FORM
0xD1	0xFEB9	# ARABIC LETTER SAD ISOLATED FORM
0xD2	0xFEBB	# ARABIC LETTER SAD INITIAL FORM
0xD3	0xFEBD	# ARABIC LETTER DAD ISOLATED FORM
0xD4	0xFEBF	# ARABIC LETTER DAD INITIAL FORM
0xD5	0xFEC1	# ARABIC LETTER TAH ISOLATED FORM
0xD6	0xFEC5	# ARABIC LETTER ZAH ISOLATED FORM
0xD7	0xFEC9	# ARABIC LETTER AIN ISOLATED FORM
0xD8	0xFECA	# ARABIC LETTER AIN FINAL FORM
0xD9	0xFECB	# ARABIC LETTER AIN INITIAL FORM
0xDA	0xFECC	# ARABIC LETTER AIN MEDIAL FORM
0xDB	0xFECD	# ARABIC LETTER GHAIN ISOLATED FORM
0xDC	0xFECE	# ARABIC LETTER GHAIN FINAL FORM
0xDD	0xFECF	# ARABIC LETTER GHAIN INITIAL FORM
0xDE	0xFED0	# ARABIC LETTER GHAIN MEDIAL FORM
0xDF	0xFED1	# ARABIC LETTER FEH ISOLATED FORM
0xE0	0xFED3	# ARABIC LETTER FEH INITIAL FORM
0xE1	0xFED5	# ARABIC LETTER QAF ISOLATED FORM
0xE2	0xFED7	# ARABIC LETTER QAF INITIAL FORM
0xE3	0xFED9	# ARABIC LETTER KAF ISOLATED FORM
0xE4	0xFEDB	# ARABIC LETTER KAF INITIAL FORM
0xE5	0xFB92	# ARABIC LETTER GAF ISOLATED FORM
0xE6	0xFB94	# ARABIC LETTER GAF INITIAL FORM
0xE7	0xFEDD	# ARABIC LETTER LAM ISOLATED FORM
0xE8	0xFEDF	# ARABIC LETTER LAM INITIAL FORM
0xE9	0xFEE0	# ARABIC LETTER LAM MEDIAL FORM
0xEA	0xFEE1	# ARABIC LETTER MEEM ISOLATED FORM
0xEB	0xFEE3	# ARABIC LETTER MEEM INITIAL FORM
0xEC	0xFB9E	# ARABIC LETTER NOON GHUNNA ISOLATED FORM
0xED	0xFEE5	# ARABIC LETTER NOON ISOLATED FORM
0xEE	0xFEE7	# ARABIC LETTER NOON INITIAL FORM
0xEF	0xFE85	# ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
0xF0	0xFEED	# ARABIC LETTER WAW ISOLATED FORM
0xF1	0xFBA6	# ARABIC LETTER HEH GOAL ISOLATED FORM
0xF2	0xFBA8	# ARABIC LETTER HEH GOAL INITIAL FORM
0xF3	0xFBA9	# ARABIC LETTER HEH GOAL MEDIAL FORM
0xF4	0xFBAA	# ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM
0xF5	0xFE80	# ARABIC LETTER HAMZA ISOLATED FORM
0xF6	0xFE89	# ARABIC LETTER YEH WITH HAMZA ABOVE ISOLATED FORM
0xF7	0xFE8A	# ARABIC LETTER YEH WITH HAMZA ABOVE FINAL FORM
0xF8	0xFE8B	# ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
0xF9	0xFEF1	# ARABIC LETTER YEH ISOLATED FORM
0xFA	0xFEF2	# ARABIC LETTER YEH FINAL FORM
0xFB	0xFEF3	# ARABIC LETTER YEH INITIAL FORM
0xFC	0xFBB0	# ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM
0xFD	0xFBAE	# ARABIC LETTER YEH BARREE ISOLATED FORM
0xFE	0xFE7C	# ARABIC SHADDA ISOLATED FORM
0xFF	0xFE7D	# ARABIC SHADDA MEDIAL FORM
