@category	MS-DOS
@display	CP737 (DOS Greek)
@name	CP737
@alias	DOS 737
@alias	DOS CP737
@alias	DOS Greek
@codepage	737
@filename-kte	cp737.kte
@filename-txt	VENDORS/MICSFT/PC/CP737.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP737.TXT
@cite-author	Shawn Steele
@cite-title	cp737_DOSGreek to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP737.TXT
@import	fragments/ascii-all.txt
0x80	0x0391	# GREEK CAPITAL LETTER ALPHA
0x81	0x0392	# GREEK CAPITAL LETTER BETA
0x82	0x0393	# GREEK CAPITAL LETTER GAMMA
0x83	0x0394	# GREEK CAPITAL LETTER DELTA
0x84	0x0395	# GREEK CAPITAL LETTER EPSILON
0x85	0x0396	# GREEK CAPITAL LETTER ZETA
0x86	0x0397	# GREEK CAPITAL LETTER ETA
0x87	0x0398	# GREEK CAPITAL LETTER THETA
0x88	0x0399	# GREEK CAPITAL LETTER IOTA
0x89	0x039A	# GREEK CAPITAL LETTER KAPPA
0x8A	0x039B	# GREEK CAPITAL LETTER LAMDA
0x8B	0x039C	# GREEK CAPITAL LETTER MU
0x8C	0x039D	# GREEK CAPITAL LETTER NU
0x8D	0x039E	# GREEK CAPITAL LETTER XI
0x8E	0x039F	# GREEK CAPITAL LETTER OMICRON
0x8F	0x03A0	# GREEK CAPITAL LETTER PI
0x90	0x03A1	# GREEK CAPITAL LETTER RHO
0x91	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x92	0x03A4	# GREEK CAPITAL LETTER TAU
0x93	0x03A5	# GREEK CAPITAL LETTER UPSILON
0x94	0x03A6	# GREEK CAPITAL LETTER PHI
0x95	0x03A7	# GREEK CAPITAL LETTER CHI
0x96	0x03A8	# GREEK CAPITAL LETTER PSI
0x97	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x98	0x03B1	# GREEK SMALL LETTER ALPHA
0x99	0x03B2	# GREEK SMALL LETTER BETA
0x9A	0x03B3	# GREEK SMALL LETTER GAMMA
