@category	MS-DOS
@display	CP775 (DOS Baltic Rim)
@name	CP775
@alias	DOS 775
@alias	DOS CP775
@alias	DOS Baltic Rim
@charset	IBM775
@charset	cp775
@charset	csPC775Baltic
@cfstringencoding	1030
@codepage	775
@mibenum	2087
@filename-kte	cp775.kte
@filename-txt	VENDORS/MICSFT/PC/CP775.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP775.TXT
@cite-author	Shawn Steele
@cite-title	cp775_DOSBaltRim to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP775.TXT
@import	fragments/ascii-all.txt
0x80	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0x81	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x82	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x83	0x0101	# LATIN SMALL LETTER A WITH MACRON
0x84	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x85	0x0123	# LATIN SMALL LETTER G WITH CEDILLA
0x86	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0x87	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0x88	0x0142	# LATIN SMALL LETTER L WITH STROKE
0x89	0x0113	# LATIN SMALL LETTER E WITH MACRON
0x8A	0x0156	# LATIN CAPITAL LETTER R WITH CEDILLA
0x8B	0x0157	# LATIN SMALL LETTER R WITH CEDILLA
0x8C	0x012B	# LATIN SMALL LETTER I WITH MACRON
0x8D	0x0179	# LATIN CAPITAL LETTER Z WITH ACUTE
0x8E	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x8F	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0x90	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x91	0x00E6	# LATIN SMALL LETTER AE
0x92	0x00C6	# LATIN CAPITAL LETTER AE
0x93	0x014D	# LATIN SMALL LETTER O WITH MACRON
0x94	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x95	0x0122	# LATIN CAPITAL LETTER G WITH CEDILLA
0x96	0x00A2	# CENT SIGN
0x97	0x015A	# LATIN CAPITAL LETTER S WITH ACUTE
0x98	0x015B	# LATIN SMALL LETTER S WITH ACUTE
0x99	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x9A	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x9B	0x00F8	# LATIN SMALL LETTER O WITH STROKE
0x9C	0x00A3	# POUND SIGN
0x9D	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
0x9E	0x00D7	# MULTIPLICATION SIGN
0x9F	0x00A4	# CURRENCY SIGN
0xA0	0x0100	# LATIN CAPITAL LETTER A WITH MACRON
0xA1	0x012A	# LATIN CAPITAL LETTER I WITH MACRON
0xA2	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xA3	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xA4	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0xA5	0x017A	# LATIN SMALL LETTER Z WITH ACUTE
0xA6	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xA7	0x00A6	# BROKEN BAR
0xA8	0x00A9	# COPYRIGHT SIGN
0xA9	0x00AE	# REGISTERED SIGN
0xAA	0x00AC	# NOT SIGN
0xAB	0x00BD	# VULGAR FRACTION ONE HALF
0xAC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xAD	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x0104	# LATIN CAPITAL LETTER A WITH OGONEK
0xB6	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0xB7	0x0118	# LATIN CAPITAL LETTER E WITH OGONEK
0xB8	0x0116	# LATIN CAPITAL LETTER E WITH DOT ABOVE
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x012E	# LATIN CAPITAL LETTER I WITH OGONEK
0xBE	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x0172	# LATIN CAPITAL LETTER U WITH OGONEK
0xC7	0x016A	# LATIN CAPITAL LETTER U WITH MACRON
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0xD0	0x0105	# LATIN SMALL LETTER A WITH OGONEK
0xD1	0x010D	# LATIN SMALL LETTER C WITH CARON
0xD2	0x0119	# LATIN SMALL LETTER E WITH OGONEK
0xD3	0x0117	# LATIN SMALL LETTER E WITH DOT ABOVE
0xD4	0x012F	# LATIN SMALL LETTER I WITH OGONEK
0xD5	0x0161	# LATIN SMALL LETTER S WITH CARON
0xD6	0x0173	# LATIN SMALL LETTER U WITH OGONEK
0xD7	0x016B	# LATIN SMALL LETTER U WITH MACRON
0xD8	0x017E	# LATIN SMALL LETTER Z WITH CARON
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x258C	# LEFT HALF BLOCK
0xDE	0x2590	# RIGHT HALF BLOCK
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xE1	0x00DF	# LATIN SMALL LETTER SHARP S
0xE2	0x014C	# LATIN CAPITAL LETTER O WITH MACRON
0xE3	0x0143	# LATIN CAPITAL LETTER N WITH ACUTE
0xE4	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0xE5	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
0xE6	0x00B5	# MICRO SIGN
0xE7	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0xE8	0x0136	# LATIN CAPITAL LETTER K WITH CEDILLA
0xE9	0x0137	# LATIN SMALL LETTER K WITH CEDILLA
0xEA	0x013B	# LATIN CAPITAL LETTER L WITH CEDILLA
0xEB	0x013C	# LATIN SMALL LETTER L WITH CEDILLA
0xEC	0x0146	# LATIN SMALL LETTER N WITH CEDILLA
0xED	0x0112	# LATIN CAPITAL LETTER E WITH MACRON
0xEE	0x0145	# LATIN CAPITAL LETTER N WITH CEDILLA
0xEF	0x2019	# RIGHT SINGLE QUOTATION MARK
0xF0	0x00AD	# SOFT HYPHEN
0xF1	0x00B1	# PLUS-MINUS SIGN
0xF2	0x201C	# LEFT DOUBLE QUOTATION MARK
0xF3	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xF4	0x00B6	# PILCROW SIGN
0xF5	0x00A7	# SECTION SIGN
0xF6	0x00F7	# DIVISION SIGN
0xF7	0x201E	# DOUBLE LOW-9 QUOTATION MARK
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x2219	# BULLET OPERATOR
0xFA	0x00B7	# MIDDLE DOT
0xFB	0x00B9	# SUPERSCRIPT ONE
0xFC	0x00B3	# SUPERSCRIPT THREE
0xFD	0x00B2	# SUPERSCRIPT TWO
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
