@category	MS-DOS
@display	CP850 (DOS Latin-1)
@name	CP850
@alias	DOS 850
@alias	DOS CP850
@alias	DOS Latin-1
@charset	IBM850
@charset	cp850
@charset	850
@charset	csPC850Multilingual
@cfstringencoding	1040
@codepage	850
@mibenum	2009
@filename-kte	cp850.kte
@filename-txt	VENDORS/MICSFT/PC/CP850.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP850.TXT
@cite-author	Shawn Steele
@cite-title	cp850_DOSLatin1 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP850.TXT
@import	fragments/ascii-all.txt
0x80	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0x81	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x82	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x83	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0x84	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x85	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0x86	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0x87	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x88	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x89	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0x8A	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0x8B	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0x8C	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0x8D	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0x8E	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x8F	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0x90	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x91	0x00E6	# LATIN SMALL LETTER AE
0x92	0x00C6	# LATIN CAPITAL LETTER AE
0x93	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x94	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x95	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0x96	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0x97	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x98	0x00FF	# LATIN SMALL LETTER Y WITH DIAERESIS
0x99	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x9A	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x9B	0x00F8	# LATIN SMALL LETTER O WITH STROKE
0x9C	0x00A3	# POUND SIGN
0x9D	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
0x9E	0x00D7	# MULTIPLICATION SIGN
0x9F	0x0192	# LATIN SMALL LETTER F WITH HOOK
0xA0	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xA1	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xA2	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xA3	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xA4	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0xA5	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xA6	0x00AA	# FEMININE ORDINAL INDICATOR
0xA7	0x00BA	# MASCULINE ORDINAL INDICATOR
0xA8	0x00BF	# INVERTED QUESTION MARK
