@category	MS-DOS
@display	CP852 (DOS Latin-2)
@name	CP852
@alias	DOS 852
@alias	DOS CP852
@alias	DOS Latin-2
@charset	IBM852
@charset	cp852
@charset	852
@charset	csPCp852
@codepage	852
@mibenum	2010
@filename-kte	cp852.kte
@filename-txt	VENDORS/MICSFT/PC/CP852.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP852.TXT
@cite-author	Shawn Steele
@cite-title	cp852_DOSLatin2 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP852.TXT
@import	fragments/ascii-all.txt
0x80	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0x81	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0x82	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x83	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0x84	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0x85	0x016F	# LATIN SMALL LETTER U WITH RING ABOVE
0x86	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0x87	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0x88	0x0142	# LATIN SMALL LETTER L WITH STROKE
0x89	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0x8A	0x0150	# LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x8B	0x0151	# LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x8C	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0x8D	0x0179	# LATIN CAPITAL LETTER Z WITH ACUTE
0x8E	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0x8F	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0x90	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x91	0x0139	# LATIN CAPITAL LETTER L WITH ACUTE
0x92	0x013A	# LATIN SMALL LETTER L WITH ACUTE
0x93	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x94	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0x95	0x013D	# LATIN CAPITAL LETTER L WITH CARON
0x96	0x013E	# LATIN SMALL LETTER L WITH CARON
0x97	0x015A	# LATIN CAPITAL LETTER S WITH ACUTE
0x98	0x015B	# LATIN SMALL LETTER S WITH ACUTE
0x99	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0x9A	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0x9B	0x0164	# LATIN CAPITAL LETTER T WITH CARON
0x9C	0x0165	# LATIN SMALL LETTER T WITH CARON
0x9D	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0x9E	0x00D7	# MULTIPLICATION SIGN
0x9F	0x010D	# LATIN SMALL LETTER C WITH CARON
0xA0	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xA1	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xA2	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xA3	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xA4	0x0104	# LATIN CAPITAL LETTER A WITH OGONEK
0xA5	0x0105	# LATIN SMALL LETTER A WITH OGONEK
0xA6	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0xA7	0x017E	# LATIN SMALL LETTER Z WITH CARON
0xA8	0x0118	# LATIN CAPITAL LETTER E WITH OGONEK
