@category	MS-DOS
@display	CP855 (DOS Cyrillic)
@name	CP855
@alias	DOS 855
@alias	DOS CP855
@alias	DOS Cyrillic
@charset	IBM855
@charset	cp855
@charset	855
@charset	csIBM855
@codepage	855
@mibenum	2046
@filename-kte	cp855.kte
@filename-txt	VENDORS/MICSFT/PC/CP855.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP855.TXT
@cite-author	Shawn Steele
@cite-title	cp855_DOSCyrillic to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP855.TXT
@import	fragments/ascii-all.txt
0x80	0x0452	# CYRILLIC SMALL LETTER DJE
0x81	0x0402	# CYRILLIC CAPITAL LETTER DJE
0x82	0x0453	# CYRILLIC SMALL LETTER GJE
0x83	0x0403	# CYRILLIC CAPITAL LETTER GJE
0x84	0x0451	# CYRILLIC SMALL LETTER IO
0x85	0x0401	# CYRILLIC CAPITAL LETTER IO
0x86	0x0454	# CYRILLIC SMALL LETTER UKRAINIAN IE
0x87	0x0404	# CYRILLIC CAPITAL LETTER UKRAINIAN IE
0x88	0x0455	# CYRILLIC SMALL LETTER DZE
0x89	0x0405	# CYRILLIC CAPITAL LETTER DZE
0x8A	0x0456	# CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0x8B	0x0406	# CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0x8C	0x0457	# CYRILLIC SMALL LETTER YI
0x8D	0x0407	# CYRILLIC CAPITAL LETTER YI
0x8E	0x0458	# CYRILLIC SMALL LETTER JE
0x8F	0x0408	# CYRILLIC CAPITAL LETTER JE
0x90	0x0459	# CYRILLIC SMALL LETTER LJE
0x91	0x0409	# CYRILLIC CAPITAL LETTER LJE
0x92	0x045A	# CYRILLIC SMALL LETTER NJE
0x93	0x040A	# CYRILLIC CAPITAL LETTER NJE
0x94	0x045B	# CYRILLIC SMALL LETTER TSHE
0x95	0x040B	# CYRILLIC CAPITAL LETTER TSHE
0x96	0x045C	# CYRILLIC SMALL LETTER KJE
0x97	0x040C	# CYRILLIC CAPITAL LETTER KJE
0x98	0x045E	# CYRILLIC SMALL LETTER SHORT U
0x99	0x040E	# CYRILLIC CAPITAL LETTER SHORT U
0x9A	0x045F	# CYRILLIC SMALL LETTER DZHE
0x9B	0x040F	# CYRILLIC CAPITAL LETTER DZHE
0x9C	0x044E	# CYRILLIC SMALL LETTER YU
0x9D	0x042E	# CYRILLIC CAPITAL LETTER YU
0x9E	0x044A	# CYRILLIC SMALL LETTER HARD SIGN
0x9F	0x042A	# CYRILLIC CAPITAL LETTER HARD SIGN
0xA0	0x0430	# CYRILLIC SMALL LETTER A
0xA1	0x0410	# CYRILLIC CAPITAL LETTER A
0xA2	0x0431	# CYRILLIC SMALL LETTER BE
0xA3	0x0411	# CYRILLIC CAPITAL LETTER BE
0xA4	0x0446	# CYRILLIC SMALL LETTER TSE
0xA5	0x0426	# CYRILLIC CAPITAL LETTER TSE
0xA6	0x0434	# CYRILLIC SMALL LETTER DE
0xA7	0x0414	# CYRILLIC CAPITAL LETTER DE
0xA8	0x0435	# CYRILLIC SMALL LETTER IE
0xA9	0x0415	# CYRILLIC CAPITAL LETTER IE
0xAA	0x0444	# CYRILLIC SMALL LETTER EF
0xAB	0x0424	# CYRILLIC CAPITAL LETTER EF
0xAC	0x0433	# CYRILLIC SMALL LETTER GHE
0xAD	0x0413	# CYRILLIC CAPITAL LETTER GHE
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x0445	# CYRILLIC SMALL LETTER HA
0xB6	0x0425	# CYRILLIC CAPITAL LETTER HA
0xB7	0x0438	# CYRILLIC SMALL LETTER I
0xB8	0x0418	# CYRILLIC CAPITAL LETTER I
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x0439	# CYRILLIC SMALL LETTER SHORT I
0xBE	0x0419	# CYRILLIC CAPITAL LETTER SHORT I
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x043A	# CYRILLIC SMALL LETTER KA
0xC7	0x041A	# CYRILLIC CAPITAL LETTER KA
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x00A4	# CURRENCY SIGN
0xD0	0x043B	# CYRILLIC SMALL LETTER EL
0xD1	0x041B	# CYRILLIC CAPITAL LETTER EL
0xD2	0x043C	# CYRILLIC SMALL LETTER EM
0xD3	0x041C	# CYRILLIC CAPITAL LETTER EM
0xD4	0x043D	# CYRILLIC SMALL LETTER EN
0xD5	0x041D	# CYRILLIC CAPITAL LETTER EN
0xD6	0x043E	# CYRILLIC SMALL LETTER O
0xD7	0x041E	# CYRILLIC CAPITAL LETTER O
0xD8	0x043F	# CYRILLIC SMALL LETTER PE
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x041F	# CYRILLIC CAPITAL LETTER PE
0xDE	0x044F	# CYRILLIC SMALL LETTER YA
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x042F	# CYRILLIC CAPITAL LETTER YA
0xE1	0x0440	# CYRILLIC SMALL LETTER ER
0xE2	0x0420	# CYRILLIC CAPITAL LETTER ER
0xE3	0x0441	# CYRILLIC SMALL LETTER ES
0xE4	0x0421	# CYRILLIC CAPITAL LETTER ES
0xE5	0x0442	# CYRILLIC SMALL LETTER TE
0xE6	0x0422	# CYRILLIC CAPITAL LETTER TE
0xE7	0x0443	# CYRILLIC SMALL LETTER U
0xE8	0x0423	# CYRILLIC CAPITAL LETTER U
0xE9	0x0436	# CYRILLIC SMALL LETTER ZHE
0xEA	0x0416	# CYRILLIC CAPITAL LETTER ZHE
0xEB	0x0432	# CYRILLIC SMALL LETTER VE
0xEC	0x0412	# CYRILLIC CAPITAL LETTER VE
0xED	0x044C	# CYRILLIC SMALL LETTER SOFT SIGN
0xEE	0x042C	# CYRILLIC CAPITAL LETTER SOFT SIGN
0xEF	0x2116	# NUMERO SIGN
