@category	MS-DOS
@display	CP862 (DOS Hebrew)
@name	CP862
@alias	DOS 862
@alias	DOS CP862
@alias	DOS Hebrew
@charset	IBM862
@charset	cp862
@charset	862
@charset	csPC862LatinHebrew
@codepage	862
@mibenum	2013
@filename-kte	cp862.kte
@filename-txt	VENDORS/MICSFT/PC/CP862.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP862.TXT
@cite-author	Shawn Steele
@cite-title	cp862_DOSHebrew to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP862.TXT
@import	fragments/ascii-all.txt
0x80	0x05D0	# HEBREW LETTER ALEF
0x81	0x05D1	# HEBREW LETTER BET
0x82	0x05D2	# HEBREW LETTER GIMEL
0x83	0x05D3	# HEBREW LETTER DALET
0x84	0x05D4	# HEBREW LETTER HE
0x85	0x05D5	# HEBREW LETTER VAV
0x86	0x05D6	# HEBREW LETTER ZAYIN
0x87	0x05D7	# HEBREW LETTER HET
0x88	0x05D8	# HEBREW LETTER TET
0x89	0x05D9	# HEBREW LETTER YOD
0x8A	0x05DA	# HEBREW LETTER FINAL KAF
0x8B	0x05DB	# HEBREW LETTER KAF
0x8C	0x05DC	# HEBREW LETTER LAMED
0x8D	0x05DD	# HEBREW LETTER FINAL MEM
0x8E	0x05DE	# HEBREW LETTER MEM
0x8F	0x05DF	# HEBREW LETTER FINAL NUN
0x90	0x05E0	# HEBREW LETTER NUN
0x91	0x05E1	# HEBREW LETTER SAMEKH
0x92	0x05E2	# HEBREW LETTER AYIN
0x93	0x05E3	# HEBREW LETTER FINAL PE
0x94	0x05E4	# HEBREW LETTER PE
0x95	0x05E5	# HEBREW LETTER FINAL TSADI
0x96	0x05E6	# HEBREW LETTER TSADI
0x97	0x05E7	# HEBREW LETTER QOF
0x98	0x05E8	# HEBREW LETTER RESH
0x99	0x05E9	# HEBREW LETTER SHIN
0x9A	0x05EA	# HEBREW LETTER TAV
0x9B	0x00A2	# CENT SIGN
0x9C	0x00A3	# POUND SIGN
0x9D	0x00A5	# YEN SIGN
0x9E	0x20A7	# PESETA SIGN
0x9F	0x0192	# LATIN SMALL LETTER F WITH HOOK
0xA0	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xA1	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xA2	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xA3	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xA4	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0xA5	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xA6	0x00AA	# FEMININE ORDINAL INDICATOR
0xA7	0x00BA	# MASCULINE ORDINAL INDICATOR
0xA8	0x00BF	# INVERTED QUESTION MARK
0xA9	0x2310	# REVERSED NOT SIGN
0xAA	0x00AC	# NOT SIGN
0xAB	0x00BD	# VULGAR FRACTION ONE HALF
0xAC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xAD	0x00A1	# INVERTED EXCLAMATION MARK
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x2561	# BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xB6	0x2562	# BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xB7	0x2556	# BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xB8	0x2555	# BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x255C	# BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0xBE	0x255B	# BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x255E	# BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xC7	0x255F	# BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x2567	# BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xD0	0x2568	# BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xD1	0x2564	# BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xD2	0x2565	# BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xD3	0x2559	# BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xD4	0x2558	# BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xD5	0x2552	# BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xD6	0x2553	# BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xD7	0x256B	# BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xD8	0x256A	# BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x258C	# LEFT HALF BLOCK
0xDE	0x2590	# RIGHT HALF BLOCK
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x03B1	# GREEK SMALL LETTER ALPHA
0xE1	0x00DF	# LATIN SMALL LETTER SHARP S
0xE2	0x0393	# GREEK CAPITAL LETTER GAMMA
0xE3	0x03C0	# GREEK SMALL LETTER PI
0xE4	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xE5	0x03C3	# GREEK SMALL LETTER SIGMA
0xE6	0x00B5	# MICRO SIGN
0xE7	0x03C4	# GREEK SMALL LETTER TAU
0xE8	0x03A6	# GREEK CAPITAL LETTER PHI
0xE9	0x0398	# GREEK CAPITAL LETTER THETA
0xEA	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xEB	0x03B4	# GREEK SMALL LETTER DELTA
0xEC	0x221E	# INFINITY
0xED	0x03C6	# GREEK SMALL LETTER PHI
0xEE	0x03B5	# GREEK SMALL LETTER EPSILON
0xEF	0x2229	# INTERSECTION
0xF0	0x2261	# IDENTICAL TO
0xF1	0x00B1	# PLUS-MINUS SIGN
0xF2	0x2265	# GREATER-THAN OR EQUAL TO
0xF3	0x2264	# LESS-THAN OR EQUAL TO
0xF4	0x2320	# TOP HALF INTEGRAL
0xF5	0x2321	# BOTTOM HALF INTEGRAL
0xF6	0x00F7	# DIVISION SIGN
0xF7	0x2248	# ALMOST EQUAL TO
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x2219	# BULLET OPERATOR
0xFA	0x00B7	# MIDDLE DOT
0xFB	0x221A	# SQUARE ROOT
0xFC	0x207F	# SUPERSCRIPT LATIN SMALL LETTER N
0xFD	0x00B2	# SUPERSCRIPT TWO
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
