@category	MS-DOS
@display	CP864 (DOS Arabic)
@name	CP864
@alias	DOS 864
@alias	DOS CP864
@alias	DOS Arabic
@charset	IBM864
@charset	cp864
@charset	csIBM864
@codepage	864
@mibenum	2051
@filename-kte	cp864.kte
@filename-txt	VENDORS/MICSFT/PC/CP864.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP864.TXT
@cite-author	Shawn Steele
@cite-title	cp864_DOSArabic to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP864.TXT
@import	fragments/ascii-c0.txt
0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x0022	# QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x25	0x066A	# ARABIC PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x0027	# APOSTROPHE
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x002A	# ASTERISK
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x002D	# HYPHEN-MINUS
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
@import	fragments/ascii-num.txt	# DIGIT ZERO .. DIGIT NINE
0x3A	0x003A	# COLON
0x3B	0x003B	# SEMICOLON
0x3C	0x003C	# LESS-THAN SIGN
0x3D	0x003D	# EQUALS SIGN
0x3E	0x003E	# GREATER-THAN SIGN
0x3F	0x003F	# QUESTION MARK
0x40	0x0040	# COMMERCIAL AT
@import	fragments/ascii-uc.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
@import	fragments/ascii-lc.txt	# LATIN SMALL LETTER A .. LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x007E	# TILDE
@import	fragments/ascii-del.txt
0x80	0x00B0	# DEGREE SIGN
0x81	0x00B7	# MIDDLE DOT
0x82	0x2219	# BULLET OPERATOR
0x83	0x221A	# SQUARE ROOT
0x84	0x2592	# MEDIUM SHADE
0x85	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0x86	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0x87	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x88	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x89	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x8A	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x8B	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x8C	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0x8D	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0x8E	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0x8F	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0x90	0x03B2	# GREEK SMALL LETTER BETA
0x91	0x221E	# INFINITY
0x92	0x03C6	# GREEK SMALL LETTER PHI
0x93	0x00B1	# PLUS-MINUS SIGN
0x94	0x00BD	# VULGAR FRACTION ONE HALF
0x95	0x00BC	# VULGAR FRACTION ONE QUARTER
0x96	0x2248	# ALMOST EQUAL TO
0x97	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x98	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x99	0xFEF7	# ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM
0x9A	0xFEF8	# ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM
0x9D	0xFEFB	# ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM
0x9E	0xFEFC	# ARABIC LIGATURE LAM WITH ALEF FINAL FORM
0xA0	0x00A0	# NO-BREAK SPACE
0xA1	0x00AD	# SOFT HYPHEN
