@category	MS-DOS
@display	CP869 (DOS Greek-2)
@name	CP869
@alias	DOS 869
@alias	DOS CP869
@alias	DOS Greek-2
@charset	IBM869
@charset	cp869
@charset	869
@charset	cp-gr
@charset	csIBM869
@codepage	869
@mibenum	2054
@filename-kte	cp869.kte
@filename-txt	VENDORS/MICSFT/PC/CP869.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP869.TXT
@cite-author	Shawn Steele
@cite-title	cp869_DOSGreek2 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP869.TXT
@import	fragments/ascii-all.txt
0x86	0x0386	# GREEK CAPITAL LETTER ALPHA WITH TONOS
0x88	0x00B7	# MIDDLE DOT
0x89	0x00AC	# NOT SIGN
0x8A	0x00A6	# BROKEN BAR
0x8B	0x2018	# LEFT SINGLE QUOTATION MARK
0x8C	0x2019	# RIGHT SINGLE QUOTATION MARK
0x8D	0x0388	# GREEK CAPITAL LETTER EPSILON WITH TONOS
0x8E	0x2015	# HORIZONTAL BAR
0x8F	0x0389	# GREEK CAPITAL LETTER ETA WITH TONOS
0x90	0x038A	# GREEK CAPITAL LETTER IOTA WITH TONOS
0x91	0x03AA	# GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0x92	0x038C	# GREEK CAPITAL LETTER OMICRON WITH TONOS
0x95	0x038E	# GREEK CAPITAL LETTER UPSILON WITH TONOS
0x96	0x03AB	# GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0x97	0x00A9	# COPYRIGHT SIGN
0x98	0x038F	# GREEK CAPITAL LETTER OMEGA WITH TONOS
0x99	0x00B2	# SUPERSCRIPT TWO
0x9A	0x00B3	# SUPERSCRIPT THREE
0x9B	0x03AC	# GREEK SMALL LETTER ALPHA WITH TONOS
0x9C	0x00A3	# POUND SIGN
0x9D	0x03AD	# GREEK SMALL LETTER EPSILON WITH TONOS
0x9E	0x03AE	# GREEK SMALL LETTER ETA WITH TONOS
