@category	Kreative Software
@name	Kreative Keyboard
@alias	KK Keyboard
@charset	x-kk-keyboard
@filename-kte	superkeyboard.kte
@filename-txt	VENDORS/KREATIVE/KEYBD.TXT
@generate-txt	VENDORS/KREATIVE/KEYBD.TXT
#
#	Name:             Kreative Keyboard to Unicode
#	Unicode Version:  6.0
#	Table Version:    1.0
#	Table Format:     Format A
#	Date:             2018 January 6
#	Authors:          Rebecca Bettencourt <support@kreativekorp.com>
#
#	Copyright (c) 2012-2018 Kreative Software. All Rights Reserved.
#
#	This file is provided as-is by Kreative Software.
#	No claims are made as to fitness for any particular purpose.
#	No warranties of any kind are expressed or implied.
#	The recipient agrees to determine applicability of information provided.
#
0x00	0x0000	# NULL
0x01	0xF820	# Atari logo
0x02	0xF821	# Commodore logo
0x03	0xF822	# Amiga logo, solid
0x04	0xF823	# Amiga logo, outline
0x05	0xF824	# leap backward
0x06	0xF825	# leap forward
0x07	0x237E	# BELL SYMBOL
0x08	0x0008	# BACKSPACE
0x09	0x0009	# HORIZONTAL TABULATION
0x0A	0x000A	# LINE FEED
0x0B	0x000B	# VERTICAL TABULATION
0x0C	0x000C	# FORM FEED
0x0D	0x000D	# CARRIAGE RETURN
0x0E	0x2B58	# HEAVY CIRCLE; power off symbol
0x0F	0x23FD	# POWER ON SYMBOL
0x10	0x23FA	# BLACK CIRCLE FOR RECORD
0x11	0x23EF	# BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
0x12	0x23F8	# DOUBLE VERTICAL BAR
0x13	0x23F9	# BLACK SQUARE FOR STOP
0x14	0x23EE	# BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
0x15	0x23EA	# BLACK LEFT-POINTING DOUBLE TRIANGLE
0x16	0x2759+0x23F4	# LIGHT VERTICAL BAR, BLACK MEDIUM LEFT-POINTING TRIANGLE
0x17	0x23F4	# BLACK MEDIUM LEFT-POINTING TRIANGLE
0x18	0x23F5	# BLACK MEDIUM RIGHT-POINTING TRIANGLE
0x19	0x23F5+0x2759	# BLACK MEDIUM RIGHT-POINTING TRIANGLE, LIGHT VERTICAL BAR
0x1A	0x23E9	# BLACK RIGHT-POINTING DOUBLE TRIANGLE
0x1B	0x23ED	# BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
0x1C	0x1F508	# SPEAKER
0x1D	0x1F509	# SPEAKER WITH ONE SOUND WAVE
0x1E	0x1F50A	# SPEAKER WITH THREE SOUND WAVES
0x1F	0x23FE	# POWER SLEEP SYMBOL
