@category	Kreative Software
@name	Kreative SuperLatin
@alias	KK SuperLatin
@charset	x-kk-superlatin
@filename-kte	superlatin.kte
@filename-txt	VENDORS/KREATIVE/LATIN.TXT
@generate-txt	VENDORS/KREATIVE/LATIN.TXT
#
#	Name:             Kreative SuperLatin to Unicode
#	Unicode Version:  6.0
#	Table Version:    1.0
#	Table Format:     Format A
#	Date:             2017 December 19
#	Authors:          Rebecca Bettencourt <support@kreativekorp.com>
#
#	Copyright (c) 2012-2017 Kreative Software. All Rights Reserved.
#
#	This file is provided as-is by Kreative Software.
#	No claims are made as to fitness for any particular purpose.
#	No warranties of any kind are expressed or implied.
#	The recipient agrees to determine applicability of information provided.
#
0x00	0x0000	# NULL
0x01	0x02CB	# MODIFIER LETTER GRAVE ACCENT
0x02	0x02DD	# DOUBLE ACUTE ACCENT
0x03	0x02D9	# DOT ABOVE
0x04	0x02DA	# RING ABOVE
0x05	0x02C7	# CARON
0x06	0x02D8	# BREVE
0x07	0x02DB	# OGONEK
0x08	0x0008	# BACKSPACE
0x09	0x0009	# HORIZONTAL TABULATION
0x0A	0x000A	# LINE FEED
0x0B	0x000B	# VERTICAL TABULATION
0x0C	0x000C	# FORM FEED
0x0D	0x000D	# CARRIAGE RETURN
0x0E	0xFB01	# LATIN SMALL LIGATURE FI
0x0F	0xFB02	# LATIN SMALL LIGATURE FL
0x10	0xF8FF	# Apple logo
0x11	0x2044	# FRACTION SLASH
0x12	0x221A	# SQUARE ROOT
0x13	0x2211	# N-ARY SUMMATION
0x14	0x220F	# N-ARY PRODUCT
0x15	0x222B	# INTEGRAL
0x16	0x2206	# INCREMENT
0x17	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x18	0x03C0	# GREEK SMALL LETTER PI
0x19	0x2202	# PARTIAL DIFFERENTIAL
0x1A	0x221E	# INFINITY
0x1B	0x001B	# ESCAPE
0x1C	0x2264	# LESS-THAN OR EQUAL TO
0x1D	0x2260	# NOT EQUAL TO
0x1E	0x2265	# GREATER-THAN OR EQUAL TO
0x1F	0x2248	# ALMOST EQUAL TO
@import	fragments/ascii-g0.txt
@import	fragments/ascii-del.txt
0x80	0x20AC	# EURO SIGN
0x81	0x25CA	# LOZENGE
0x82	0x201A	# SINGLE LOW-9 QUOTATION MARK
0x83	0x0192	# LATIN SMALL LETTER F WITH HOOK
0x84	0x201E	# DOUBLE LOW-9 QUOTATION MARK
0x85	0x2026	# HORIZONTAL ELLIPSIS
0x86	0x2020	# DAGGER
0x87	0x2021	# DOUBLE DAGGER
0x88	0x02C6	# MODIFIER LETTER CIRCUMFLEX ACCENT
0x89	0x2030	# PER MILLE SIGN
0x8A	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0x8B	0x2039	# SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8C	0x0152	# LATIN CAPITAL LIGATURE OE
0x8D	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0x8E	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0x8F	0x0131	# LATIN SMALL LETTER DOTLESS I
0x90	0x2318	# PLACE OF INTEREST SIGN
0x91	0x2018	# LEFT SINGLE QUOTATION MARK
0x92	0x2019	# RIGHT SINGLE QUOTATION MARK
0x93	0x201C	# LEFT DOUBLE QUOTATION MARK
0x94	0x201D	# RIGHT DOUBLE QUOTATION MARK
0x95	0x2022	# BULLET
0x96	0x2013	# EN DASH
0x97	0x2014	# EM DASH
0x98	0x02DC	# SMALL TILDE
0x99	0x2122	# TRADE MARK SIGN
0x9A	0x0161	# LATIN SMALL LETTER S WITH CARON
0x9B	0x203A	# SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9C	0x0153	# LATIN SMALL LIGATURE OE
0x9D	0x0142	# LATIN SMALL LETTER L WITH STROKE
0x9E	0x017E	# LATIN SMALL LETTER Z WITH CARON
0x9F	0x0178	# LATIN CAPITAL LETTER Y WITH DIAERESIS
@import	fragments/latin1-g1.txt
