@filename-txt FONTS/KSQUARE/Blocks.txt
@generate-txt FONTS/KSQUARE/Blocks.txt
@import fragments/header-blocks.txt

EF00..EFFF; Control Pictures Extended
F000..F0FF; Modular Font Elements
F200..F3FF; Block Elements Extended
F400..F41F; Control Pictures Supplement
F600..F61F; Kreative Software Private Use ERIN
F680..F69F; Apple MouseText Characters
F700..F7FF; Kreative Software Private Use
F800..F80F; Apple Compatibility
F810..F89F; Kreative Software Private Use Supplement
FF000..FF0FF; Kreative Software Private Use Extended-A
FF700..FF7FF; Seven-Segment Display Patterns

# EOF
