@filename-txt FONTS/NISHIKI/Blocks.txt
@generate-txt FONTS/NISHIKI/Blocks.txt
@import fragments/header-blocks.txt

E000..E07F; Tengwar
E080..E0FF; Cirth
E270..E28F; aUI
E290..E2CF; ARIB Compatibility
E3B0..E42F; Biblos Compatibility
E630..E64F; Seussian Latin Extensions
E680..E6CF; Ewellic
E6D0..E73F; Unifon Supplement
E740..E76F; Unifon
E770..E77F; Solresol
E780..E7FF; Visible Speech
E8B0..E8DF; MUFI Compatibility-A
E8E0..E8FF; Tonal and Duodenal
E900..E9CF; Phonetic Extensions Appendix
E9D0..E9FF; Punctuation Appendix
EA00..EACF; Latin Extended Appendix
EAD0..EBFF; MUFI Compatibility-B
EE00..EEBF; Alphabetic Presentation Forms Appendix
EEC0..F32F; MUFI/CYFI/SIL Compatibility
F330..F3FF; CYFI Compatibility
F400..F4BF; Kana Appendix-A
F4C0..F4EF; Ath
F4F0..F4FF; MUFI Compatibility-C
F500..F54F; Koudou Symbols
F550..F57F; Mathematical Operators Appendix
F580..F58F; Geomantic Figures
F590..F5FF; Various Symbols
F600..F6FF; Geometric Shapes and Technical Symbols Appendix
F700..F71F; Metrical Symbols
F720..F7FF; Kreative Compatibility
F800..F87F; Apple Compatibility
F880..F89F; Technical Symbols Appendix
F8A0..F8CF; Aiha
F8D0..F8FF; Klingon
F0000..F01FF; Standardized Variants
F0210..F02DF; Cardo Compatibility
F0300..F04FF; Control Pictures Appendix-A
F0600..F07FF; Number Forms Appendix
F0910..F09FF; Enclosed Alphanumerics Appendix
F0A00..F0D6F; Enclosed CJK Letters Appendix
F7C00..F7FFF; Kana Appendix-B
F8000..F8FFF; CJK Ideographs Appendix
FC2E0..FC3FF; Chess Symbols Appendix
FC840..FC89F; Vexillological Symbols
FD100..FD1FF; Musical Symbols Appendix
FDE00..FDFFF; Regional Flags
FE000..FEEAF; GMail Emoji Compatibility
FEF00..FEFFF; Ornamental Dingbats Appendix
FF000..FFCFF; Pictographs Appendix
FFD00..FFFFD; Nishiki Shell Surfaces
100000..1001EF; Control Pictures Appendix-B
100F60..100FFF; Code Value Presentation Glyphs

# EOF
