FF3C1; C; FF3E1; # ALIPHBEPF CAPITAL LETTER ALIPH
FF3C2; C; FF3E2; # ALIPHBEPF CAPITAL LETTER BEPF
FF3C3; C; FF3E3; # ALIPHBEPF CAPITAL LETTER GAMMIND
FF3C4; C; FF3E4; # ALIPHBEPF CAPITAL LETTER DALT
FF3C5; C; FF3E5; # ALIPHBEPF CAPITAL LETTER ENTSILO
FF3C6; C; FF3E6; # ALIPHBEPF CAPITAL LETTER FAO
FF3C7; C; FF3E7; # ALIPHBEPF CAPITAL LETTER GAMPI
FF3C8; C; FF3E8; # ALIPHBEPF CAPITAL LETTER HIOTA
FF3C9; C; FF3E9; # ALIPHBEPF CAPITAL LETTER IIVII
FF3CA; C; FF3EA; # ALIPHBEPF CAPITAL LETTER JAMMA
FF3CB; C; FF3EB; # ALIPHBEPF CAPITAL LETTER KAMMA
FF3CC; C; FF3EC; # ALIPHBEPF CAPITAL LETTER LAMMA
FF3CD; C; FF3ED; # ALIPHBEPF CAPITAL LETTER MI
FF3CE; C; FF3EE; # ALIPHBEPF CAPITAL LETTER NI
FF3CF; C; FF3EF; # ALIPHBEPF CAPITAL LETTER OMMAXRON
FF3D0; C; FF3F0; # ALIPHBEPF CAPITAL LETTER PYKI
FF3D1; C; FF3F1; # ALIPHBEPF CAPITAL LETTER QOLUMBIAREQORDS
FF3D2; C; FF3F2; # ALIPHBEPF CAPITAL LETTER RULU
FF3D3; C; FF3F3; # ALIPHBEPF CAPITAL LETTER SEMMA
FF3D4; C; FF3F4; # ALIPHBEPF CAPITAL LETTER TYRA
FF3D5; C; FF3F5; # ALIPHBEPF CAPITAL LETTER ULTSILO
FF3D6; C; FF3F6; # ALIPHBEPF CAPITAL LETTER VOOK
FF3D7; C; FF3F7; # ALIPHBEPF CAPITAL LETTER WOOK
FF3D8; C; FF3F8; # ALIPHBEPF CAPITAL LETTER XII
FF3D9; C; FF3F9; # ALIPHBEPF CAPITAL LETTER YENTA
FF3DA; C; FF3FA; # ALIPHBEPF CAPITAL LETTER ZLUTO
