F420;SABINE SPACE;Zs;0;WS;<font> 0020;;;;N;;;;;
F421;SABINE EXCLAMATION MARK;Po;0;ON;<font> 0021;;;;N;;;;;
F422;SABINE QUOTATION MARK;Po;0;ON;<font> 0022;;;;N;;;;;
F423;SABINE NUMBER SIGN;Po;0;ET;<font> 0023;;;;N;;;;;
F424;SABINE DOLLAR SIGN;Sc;0;ET;<font> 0024;;;;N;;;;;
F425;SABINE PERCENT SIGN;Po;0;ET;<font> 0025;;;;N;;;;;
F426;SABINE AMPERSAND;Po;0;ON;<font> 0026;;;;N;;;;;
F427;SABINE APOSTROPHE;Po;0;ON;<font> 0027;;;;N;;;;;
F428;SABINE LEFT PARENTHESIS;Ps;0;ON;<font> 0028;;;;Y;;;;;
F429;SABINE RIGHT PARENTHESIS;Pe;0;ON;<font> 0029;;;;Y;;;;;
F42A;SABINE ASTERISK;Po;0;ON;<font> 002A;;;;N;;;;;
F42B;SABINE PLUS SIGN;Sm;0;ES;<font> 002B;;;;N;;;;;
F42C;SABINE COMMA;Po;0;CS;<font> 002C;;;;N;;;;;
F42D;SABINE HYPHEN-MINUS;Pd;0;ES;<font> 002D;;;;N;;;;;
F42E;SABINE FULL STOP;Po;0;CS;<font> 002E;;;;N;;;;;
F42F;SABINE SOLIDUS;Po;0;CS;<font> 002F;;;;N;;;;;
F430;SABINE DIGIT ZERO;Nd;0;EN;<font> 0030;0;0;0;N;;;;;
F431;SABINE DIGIT ONE;Nd;0;EN;<font> 0031;1;1;1;N;;;;;
F432;SABINE DIGIT TWO;Nd;0;EN;<font> 0032;2;2;2;N;;;;;
F433;SABINE DIGIT THREE;Nd;0;EN;<font> 0033;3;3;3;N;;;;;
F434;SABINE DIGIT FOUR;Nd;0;EN;<font> 0034;4;4;4;N;;;;;
F435;SABINE DIGIT FIVE;Nd;0;EN;<font> 0035;5;5;5;N;;;;;
F436;SABINE DIGIT SIX;Nd;0;EN;<font> 0036;6;6;6;N;;;;;
F437;SABINE DIGIT SEVEN;Nd;0;EN;<font> 0037;7;7;7;N;;;;;
F438;SABINE DIGIT EIGHT;Nd;0;EN;<font> 0038;8;8;8;N;;;;;
F439;SABINE DIGIT NINE;Nd;0;EN;<font> 0039;9;9;9;N;;;;;
F43A;SABINE COLON;Po;0;CS;<font> 003A;;;;N;;;;;
F43B;SABINE SEMICOLON;Po;0;ON;<font> 003B;;;;N;;;;;
F43C;SABINE LESS-THAN SIGN;Sm;0;ON;<font> 003C;;;;Y;;;;;
F43D;SABINE EQUALS SIGN;Sm;0;ON;<font> 003D;;;;N;;;;;
F43E;SABINE GREATER-THAN SIGN;Sm;0;ON;<font> 003E;;;;Y;;;;;
F43F;SABINE QUESTION MARK;Po;0;ON;<font> 003F;;;;N;;;;;
F440;SABINE SANS-SERIF COMMERCIAL AT;Po;0;ON;<font> 0040;;;;N;;;;;
F441;SABINE SANS-SERIF CAPITAL LETTER A;Lu;0;L;<font> 0041;;;;N;;;;F461;
F442;SABINE SANS-SERIF CAPITAL LETTER B;Lu;0;L;<font> 0042;;;;N;;;;F462;
F443;SABINE SANS-SERIF CAPITAL LETTER C;Lu;0;L;<font> 0043;;;;N;;;;F463;
F444;SABINE SANS-SERIF CAPITAL LETTER D;Lu;0;L;<font> 0044;;;;N;;;;F464;
F445;SABINE SANS-SERIF CAPITAL LETTER E;Lu;0;L;<font> 0045;;;;N;;;;F465;
F446;SABINE SANS-SERIF CAPITAL LETTER F;Lu;0;L;<font> 0046;;;;N;;;;F466;
F447;SABINE SANS-SERIF CAPITAL LETTER G;Lu;0;L;<font> 0047;;;;N;;;;F467;
