F6A0;FAIRFAX SQUARE SPACE;Zs;0;WS;<font> 0020;;;;N;;;;;
F6A1;FAIRFAX SQUARE EXCLAMATION MARK;Po;0;ON;<font> 0021;;;;N;;;;;
F6A2;FAIRFAX SQUARE QUOTATION MARK;Po;0;ON;<font> 0022;;;;N;;;;;
F6A3;FAIRFAX SQUARE NUMBER SIGN;Po;0;ET;<font> 0023;;;;N;;;;;
F6A4;FAIRFAX SQUARE DOLLAR SIGN;Sc;0;ET;<font> 0024;;;;N;;;;;
F6A5;FAIRFAX SQUARE PERCENT SIGN;Po;0;ET;<font> 0025;;;;N;;;;;
F6A6;FAIRFAX SQUARE AMPERSAND;Po;0;ON;<font> 0026;;;;N;;;;;
F6A7;FAIRFAX SQUARE APOSTROPHE;Po;0;ON;<font> 0027;;;;N;;;;;
F6A8;FAIRFAX SQUARE LEFT PARENTHESIS;Ps;0;ON;<font> 0028;;;;Y;;;;;
F6A9;FAIRFAX SQUARE RIGHT PARENTHESIS;Pe;0;ON;<font> 0029;;;;Y;;;;;
F6AA;FAIRFAX SQUARE ASTERISK;Po;0;ON;<font> 002A;;;;N;;;;;
F6AB;FAIRFAX SQUARE PLUS SIGN;Sm;0;ES;<font> 002B;;;;N;;;;;
F6AC;FAIRFAX SQUARE COMMA;Po;0;CS;<font> 002C;;;;N;;;;;
F6AD;FAIRFAX SQUARE HYPHEN-MINUS;Pd;0;ES;<font> 002D;;;;N;;;;;
F6AE;FAIRFAX SQUARE FULL STOP;Po;0;CS;<font> 002E;;;;N;;;;;
F6AF;FAIRFAX SQUARE SOLIDUS;Po;0;CS;<font> 002F;;;;N;;;;;
F6B0;FAIRFAX SQUARE DIGIT ZERO;Nd;0;EN;<font> 0030;0;0;0;N;;;;;
F6B1;FAIRFAX SQUARE DIGIT ONE;Nd;0;EN;<font> 0031;1;1;1;N;;;;;
F6B2;FAIRFAX SQUARE DIGIT TWO;Nd;0;EN;<font> 0032;2;2;2;N;;;;;
F6B3;FAIRFAX SQUARE DIGIT THREE;Nd;0;EN;<font> 0033;3;3;3;N;;;;;
F6B4;FAIRFAX SQUARE DIGIT FOUR;Nd;0;EN;<font> 0034;4;4;4;N;;;;;
F6B5;FAIRFAX SQUARE DIGIT FIVE;Nd;0;EN;<font> 0035;5;5;5;N;;;;;
F6B6;FAIRFAX SQUARE DIGIT SIX;Nd;0;EN;<font> 0036;6;6;6;N;;;;;
F6B7;FAIRFAX SQUARE DIGIT SEVEN;Nd;0;EN;<font> 0037;7;7;7;N;;;;;
