E920; C; E950; # GLAITHA-A CAPITAL LETTER ALLYSSA
E921; C; E951; # GLAITHA-A CAPITAL LETTER AURA
E922; C; E952; # GLAITHA-A CAPITAL LETTER BETHA
E923; C; E953; # GLAITHA-A CAPITAL LETTER CASTA
E924; C; E954; # GLAITHA-A CAPITAL LETTER CHELLA
E925; C; E955; # GLAITHA-A CAPITAL LETTER DANELLA
E926; C; E956; # GLAITHA-A CAPITAL LETTER ELLA
E927; C; E957; # GLAITHA-A CAPITAL LETTER FAYA
E928; C; E958; # GLAITHA-A CAPITAL LETTER GEMMA
E929; C; E959; # GLAITHA-A CAPITAL LETTER HALLA
E92A; C; E95A; # GLAITHA-A CAPITAL LETTER IRMA
E92B; C; E95B; # GLAITHA-A CAPITAL LETTER JENNA
E92C; C; E95C; # GLAITHA-A CAPITAL LETTER KASSIA
E92D; C; E95D; # GLAITHA-A CAPITAL LETTER KYANA
E92E; C; E95E; # GLAITHA-A CAPITAL LETTER LIORA
E92F; C; E95F; # GLAITHA-A CAPITAL LETTER LYANA
E930; C; E960; # GLAITHA-A CAPITAL LETTER MIA
E931; C; E961; # GLAITHA-A CAPITAL LETTER MYANA
E932; C; E962; # GLAITHA-A CAPITAL LETTER NORRA
E933; C; E963; # GLAITHA-A CAPITAL LETTER NYANA
E934; C; E964; # GLAITHA-A CAPITAL LETTER OLIVA
E935; C; E965; # GLAITHA-A CAPITAL LETTER PADMA
E936; C; E966; # GLAITHA-A CAPITAL LETTER QUENTINA
E937; C; E967; # GLAITHA-A CAPITAL LETTER RASHELLA
E938; C; E968; # GLAITHA-A CAPITAL LETTER SELLA
E939; C; E969; # GLAITHA-A CAPITAL LETTER SHELLA
E93A; C; E96A; # GLAITHA-A CAPITAL LETTER TEMMA
E93B; C; E96B; # GLAITHA-A CAPITAL LETTER THALIA
E93C; C; E96C; # GLAITHA-A CAPITAL LETTER UNISHA
E93D; C; E96D; # GLAITHA-A CAPITAL LETTER VERMA
E93E; C; E96E; # GLAITHA-A CAPITAL LETTER WITNA
E93F; C; E96F; # GLAITHA-A CAPITAL LETTER XETTA
E940; C; E970; # GLAITHA-A CAPITAL LETTER YOLANA
E941; C; E971; # GLAITHA-A CAPITAL LETTER ZEFFA
E942; C; E972; # GLAITHA-A CAPITAL LETTER INGA
E943; C; E973; # GLAITHA-A CAPITAL LETTER OYNA
E944; C; E974; # GLAITHA-A CAPITAL LETTER DHAMMA
E945; C; E975; # GLAITHA-A CAPITAL LETTER KHALKA
E946; C; E976; # GLAITHA-A CAPITAL LETTER RHIENNA
E947; C; E977; # GLAITHA-A CAPITAL LETTER ZHALIA
E948; C; E978; # GLAITHA-A CAPITAL LETTER ALLYSSA WITH DIAERESIS
E949; C; E979; # GLAITHA-A CAPITAL LETTER AURA WITH DIAERESIS
E94A; C; E97A; # GLAITHA-A CAPITAL LETTER ELLA WITH DIAERESIS
E94B; C; E97B; # GLAITHA-A CAPITAL LETTER IRMA WITH DIAERESIS
E94C; C; E97C; # GLAITHA-A CAPITAL LETTER OLIVA WITH DIAERESIS
E94D; C; E97D; # GLAITHA-A CAPITAL LETTER UNISHA WITH DIAERESIS
E94E; C; E97E; # GLAITHA-A CAPITAL LETTER YOLANA WITH DIAERESIS
E94F; C; E97F; # GLAITHA-A CAPITAL LETTER OYNA WITH DIAERESIS
