E900;GLAITHA-A SPACE;Zs;0;WS;;;;;N;;;;;
E901;GLAITHA-A FULL STOP;Po;0;CS;;;;;N;;;;;
E902;GLAITHA-A COMMA;Po;0;CS;;;;;N;;;;;
E903;GLAITHA-A COLON;Po;0;CS;;;;;N;;;;;
E904;GLAITHA-A SEMICOLON;Po;0;ON;;;;;N;;;;;
E905;GLAITHA-A EXCLAMATION MARK;Po;0;ON;;;;;N;;;;;
E906;GLAITHA-A QUESTION MARK;Po;0;ON;;;;;N;;;;;
E907;GLAITHA-A INTERROBANG;Po;0;ON;;;;;N;;;;;
E908;GLAITHA-A PARAGRAPH MARK;Po;0;ON;;;;;N;;;;;
E909;GLAITHA-A SECTION MARK;Po;0;ON;;;;;N;;;;;
E910;GLAITHA-A DIGIT ZERO;Nd;0;L;;0;0;0;N;;;;;
E911;GLAITHA-A DIGIT ONE;Nd;0;L;;1;1;1;N;;;;;
E912;GLAITHA-A DIGIT TWO;Nd;0;L;;2;2;2;N;;;;;
E913;GLAITHA-A DIGIT THREE;Nd;0;L;;3;3;3;N;;;;;
E914;GLAITHA-A DIGIT FOUR;Nd;0;L;;4;4;4;N;;;;;
E915;GLAITHA-A DIGIT FIVE;Nd;0;L;;5;5;5;N;;;;;
E916;GLAITHA-A DIGIT SIX;Nd;0;L;;6;6;6;N;;;;;
E917;GLAITHA-A DIGIT SEVEN;Nd;0;L;;7;7;7;N;;;;;
E918;GLAITHA-A DIGIT EIGHT;Nd;0;L;;8;8;8;N;;;;;
E919;GLAITHA-A DIGIT NINE;Nd;0;L;;9;9;9;N;;;;;
E91A;GLAITHA-A NUMBER TEN;No;0;L;;;;10;N;;;;;
E91B;GLAITHA-A NUMBER ELEVEN;No;0;L;;;;11;N;;;;;
E91C;GLAITHA-A NUMBER TWELVE;No;0;L;;;;12;N;;;;;
E91D;GLAITHA-A NUMBER THIRTEEN;No;0;L;;;;13;N;;;;;
E91E;GLAITHA-A NUMBER FOURTEEN;No;0;L;;;;14;N;;;;;
E91F;GLAITHA-A NUMBER FIFTEEN;No;0;L;;;;15;N;;;;;
E920;GLAITHA-A CAPITAL LETTER ALLYSSA;Lu;0;L;;;;;N;;;;E950;
E921;GLAITHA-A CAPITAL LETTER AURA;Lu;0;L;;;;;N;;;;E951;
E922;GLAITHA-A CAPITAL LETTER BETHA;Lu;0;L;;;;;N;;;;E952;
E923;GLAITHA-A CAPITAL LETTER CASTA;Lu;0;L;;;;;N;;;;E953;
E924;GLAITHA-A CAPITAL LETTER CHELLA;Lu;0;L;;;;;N;;;;E954;
E925;GLAITHA-A CAPITAL LETTER DANELLA;Lu;0;L;;;;;N;;;;E955;
E926;GLAITHA-A CAPITAL LETTER ELLA;Lu;0;L;;;;;N;;;;E956;
E927;GLAITHA-A CAPITAL LETTER FAYA;Lu;0;L;;;;;N;;;;E957;
E928;GLAITHA-A CAPITAL LETTER GEMMA;Lu;0;L;;;;;N;;;;E958;
E929;GLAITHA-A CAPITAL LETTER HALLA;Lu;0;L;;;;;N;;;;E959;
E92A;GLAITHA-A CAPITAL LETTER IRMA;Lu;0;L;;;;;N;;;;E95A;
E92B;GLAITHA-A CAPITAL LETTER JENNA;Lu;0;L;;;;;N;;;;E95B;
E92C;GLAITHA-A CAPITAL LETTER KASSIA;Lu;0;L;;;;;N;;;;E95C;
E92D;GLAITHA-A CAPITAL LETTER KYANA;Lu;0;L;;;;;N;;;;E95D;
E92E;GLAITHA-A CAPITAL LETTER LIORA;Lu;0;L;;;;;N;;;;E95E;
E92F;GLAITHA-A CAPITAL LETTER LYANA;Lu;0;L;;;;;N;;;;E95F;
E930;GLAITHA-A CAPITAL LETTER MIA;Lu;0;L;;;;;N;;;;E960;
E931;GLAITHA-A CAPITAL LETTER MYANA;Lu;0;L;;;;;N;;;;E961;
