FF600; C; FF623; # JURGENSCHMIDT CAPITAL LETTER A
FF601; C; FF624; # JURGENSCHMIDT CAPITAL LETTER B
FF602; C; FF625; # JURGENSCHMIDT CAPITAL LETTER C
FF603; C; FF626; # JURGENSCHMIDT CAPITAL LETTER D
FF604; C; FF627; # JURGENSCHMIDT CAPITAL LETTER E
FF605; C; FF628; # JURGENSCHMIDT CAPITAL LETTER F
FF606; C; FF629; # JURGENSCHMIDT CAPITAL LETTER G
FF607; C; FF62A; # JURGENSCHMIDT CAPITAL LETTER H
FF608; C; FF62B; # JURGENSCHMIDT CAPITAL LETTER I
FF609; C; FF62C; # JURGENSCHMIDT CAPITAL LETTER J
FF60A; C; FF62D; # JURGENSCHMIDT CAPITAL LETTER K
FF60B; C; FF62E; # JURGENSCHMIDT CAPITAL LETTER L
FF60C; C; FF62F; # JURGENSCHMIDT CAPITAL LETTER M
FF60D; C; FF630; # JURGENSCHMIDT CAPITAL LETTER N
FF60E; C; FF631; # JURGENSCHMIDT CAPITAL LETTER O
FF60F; C; FF632; # JURGENSCHMIDT CAPITAL LETTER P
FF610; C; FF633; # JURGENSCHMIDT CAPITAL LETTER Q
FF611; C; FF634; # JURGENSCHMIDT CAPITAL LETTER R
FF612; C; FF635; # JURGENSCHMIDT CAPITAL LETTER S
FF613; C; FF636; # JURGENSCHMIDT CAPITAL LETTER T
FF614; C; FF637; # JURGENSCHMIDT CAPITAL LETTER U
FF615; C; FF638; # JURGENSCHMIDT CAPITAL LETTER V
FF616; C; FF639; # JURGENSCHMIDT CAPITAL LETTER W
FF617; C; FF63A; # JURGENSCHMIDT CAPITAL LETTER X
FF618; C; FF63B; # JURGENSCHMIDT CAPITAL LETTER Y
FF619; C; FF63C; # JURGENSCHMIDT CAPITAL LETTER Z
FF61A; C; FF63D; # JURGENSCHMIDT CAPITAL LETTER TS
FF61B; C; FF63E; # JURGENSCHMIDT CAPITAL LETTER OE
FF61C; C; FF63F; # JURGENSCHMIDT CAPITAL LETTER SCHWA
FF61D; C; FF640; # JURGENSCHMIDT CAPITAL LETTER CH
FF61E; C; FF641; # JURGENSCHMIDT CAPITAL LETTER SH
FF61F; C; FF642; # JURGENSCHMIDT CAPITAL LETTER TH
FF620; C; FF643; # JURGENSCHMIDT CAPITAL LETTER EE
FF621; C; FF644; # JURGENSCHMIDT CAPITAL LETTER ZH
FF622; C; FF645; # JURGENSCHMIDT CAPITAL LETTER DZH
