E200; C; E230; # VERDURIAN CAPITAL LETTER U
E201; C; E231; # VERDURIAN CAPITAL LETTER A
E202; C; E232; # VERDURIAN CAPITAL LETTER O
E203; C; E233; # VERDURIAN CAPITAL LETTER E
E204; C; E234; # VERDURIAN CAPITAL LETTER I
E205; C; E235; # VERDURIAN CAPITAL LETTER I BREVE
E206; C; E236; # VERDURIAN CAPITAL LETTER EK
E207; C; E237; # VERDURIAN CAPITAL LETTER ERH
E208; C; E238; # VERDURIAN CAPITAL LETTER PE
E209; C; E239; # VERDURIAN CAPITAL LETTER CES
E20A; C; E23A; # VERDURIAN CAPITAL LETTER BE
E20B; C; E23B; # VERDURIAN CAPITAL LETTER GEF
E20C; C; E23C; # VERDURIAN CAPITAL LETTER DAH
E20D; C; E23D; # VERDURIAN CAPITAL LETTER SAS
E20E; C; E23E; # VERDURIAN CAPITAL LETTER SHEN
E20F; C; E23F; # VERDURIAN CAPITAL LETTER ZAIS
E210; C; E240; # VERDURIAN CAPITAL LETTER CHEN
E211; C; E241; # VERDURIAN CAPITAL LETTER TOH
E212; C; E242; # VERDURIAN CAPITAL LETTER EDH
E213; C; E243; # VERDURIAN CAPITAL LETTER RA
E214; C; E244; # VERDURIAN CAPITAL LETTER KODH
E215; C; E245; # VERDURIAN CAPITAL LETTER LA
E216; C; E246; # VERDURIAN CAPITAL LETTER ME
E217; C; E247; # VERDURIAN CAPITAL LETTER FAI
E218; C; E248; # VERDURIAN CAPITAL LETTER NE
E219; C; E249; # VERDURIAN CAPITAL LETTER VOI
E21A; C; E24A; # VERDURIAN CAPITAL LETTER EZH
E21B; C; E24B; # VERDURIAN CAPITAL LETTER ODH
E21C; C; E24C; # VERDURIAN CAPITAL LETTER TEN
E21D; C; E24D; # VERDURIAN CAPITAL LETTER CHEN VUAE
E21E; C; E24E; # VERDURIAN CAPITAL LETTER U BREVE
E21F; C; E24F; # VERDURIAN CAPITAL LETTER SHEN ISMAE
E220; C; E250; # VERDURIAN CAPITAL LETTER EZH ISMAE
E221; C; E251; # VERDURIAN CAPITAL LETTER LA ISMAA
E222; C; E252; # VERDURIAN CAPITAL LETTER RA ISMAA
E223; C; E253; # VERDURIAN CAPITAL LETTER CHEN ISMAE
E224; C; E254; # VERDURIAN CAPITAL LETTER CES FLEADE
E225; C; E255; # VERDURIAN CAPITAL LETTER NISH FLEADE
