EAA0; C; EAC0; # WANYA CAPITAL LETTER B
EAA1; C; EAC1; # WANYA CAPITAL LETTER D
EAA2; C; EAC2; # WANYA CAPITAL LETTER G
EAA3; C; EAC3; # WANYA CAPITAL LETTER W
EAA4; C; EAC4; # WANYA CAPITAL LETTER LL
EAA5; C; EAC5; # WANYA CAPITAL LETTER J
EAA6; C; EAC6; # WANYA CAPITAL LETTER P
EAA7; C; EAC7; # WANYA CAPITAL LETTER T
EAA8; C; EAC8; # WANYA CAPITAL LETTER K
EAA9; C; EAC9; # WANYA CAPITAL LETTER DD
EAAA; C; EACA; # WANYA CAPITAL LETTER L
EAAB; C; EACB; # WANYA CAPITAL LETTER Y
EAAC; C; EACC; # WANYA CAPITAL LETTER I
EAAD; C; EACD; # WANYA CAPITAL LETTER X
EAAE; C; EACE; # WANYA CAPITAL LETTER U
EAB0; C; EAD0; # WANYA CAPITAL LETTER BB
EAB1; C; EAD1; # WANYA CAPITAL LETTER RR
EAB2; C; EAD2; # WANYA CAPITAL LETTER R
EAB3; C; EAD3; # WANYA CAPITAL LETTER V
EAB4; C; EAD4; # WANYA CAPITAL LETTER Z
EAB5; C; EAD5; # WANYA CAPITAL LETTER GG
EAB6; C; EAD6; # WANYA CAPITAL LETTER M
EAB7; C; EAD7; # WANYA CAPITAL LETTER N
EAB8; C; EAD8; # WANYA CAPITAL LETTER NN
EAB9; C; EAD9; # WANYA CAPITAL LETTER F
EABA; C; EADA; # WANYA CAPITAL LETTER S
EABB; C; EADB; # WANYA CAPITAL LETTER KK
EABC; C; EADC; # WANYA CAPITAL LETTER E
EABD; C; EADD; # WANYA CAPITAL LETTER A
EABE; C; EADE; # WANYA CAPITAL LETTER O
EAE0; C; EAE6; # WANYA CAPITAL LETTER DIPHTHONG I
EAE1; C; EAE7; # WANYA CAPITAL LETTER DIPHTHONG X
EAE2; C; EAE8; # WANYA CAPITAL LETTER DIPHTHONG U
EAE3; C; EAE9; # WANYA CAPITAL LETTER DIPHTHONG E
EAE4; C; EAEA; # WANYA CAPITAL LETTER DIPHTHONG A
EAE5; C; EAEB; # WANYA CAPITAL LETTER DIPHTHONG O
