@filename-txt PUBLIC/MUFI/CaseFolding.txt
@generate-txt PUBLIC/MUFI/CaseFolding.txt
@import fragments/header-casefolding.txt

E004; C; E404; # LATIN CAPITAL LETTER A WITH OGONEK AND ACUTE
E00A; C; E40A; # LATIN CAPITAL LETTER A WITH MACRON AND ACUTE
E010; C; E410; # LATIN CAPITAL LETTER A WITH MACRON AND BREVE
E025; C; E425; # LATIN CAPITAL LETTER A WITH DOUBLE ACUTE
E02C; C; E42C; # LATIN CAPITAL LETTER A WITH LATIN SMALL LETTER E ABOVE
E033; C; E433; # LATIN CAPITAL LETTER A WITH CURL
E036; C; E436; # LATIN CAPITAL LETTER AE WITH DOT BELOW
E03A; C; E43A; # LATIN CAPITAL LETTER AE WITH MACRON AND ACUTE
E03D; C; E43D; # LATIN CAPITAL LETTER AE WITH MACRON AND BREVE
E03F; C; E43F; # LATIN CAPITAL LETTER AE WITH BREVE
E040; C; E440; # LATIN CAPITAL LETTER AE WITH OGONEK
E041; C; E441; # LATIN CAPITAL LETTER AE WITH DOUBLE ACUTE
E042; C; E442; # LATIN CAPITAL LETTER AE WITH DIAERESIS
E043; C; E443; # LATIN CAPITAL LETTER AE WITH DOT ABOVE
E044; C; E444; # LATIN CAPITAL LETTER B WITH ACUTE
E066; C; E466; # LATIN CAPITAL LETTER C WITH DOT BELOW
E076; C; E476; # LATIN CAPITAL LETTER C WITH OGONEK
E077; C; E477; # LATIN CAPITAL LETTER D WITH ACUTE
E08F; C; E48F; # LATIN CAPITAL LETTER ETH WITH DOT BELOW
E099; C; E499; # LATIN CAPITAL LETTER E WITH OGONEK AND ACUTE
E0B7; C; E4B7; # LATIN CAPITAL LETTER E WITH MACRON AND BREVE
E0BC; C; E4BC; # LATIN CAPITAL LETTER E WITH OGONEK AND MACRON
E0C8; C; E4C8; # LATIN CAPITAL LETTER E WITH DOT ABOVE AND ACUTE
E0D1; C; E4D1; # LATIN CAPITAL LETTER E WITH DOUBLE ACUTE
E0E1; C; E4E1; # LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER A ABOVE
E0E8; C; E4E8; # LATIN CAPITAL LETTER E WITH OGONEK AND DOT BELOW
E0E9; C; E4E9; # LATIN CAPITAL LETTER E WITH CURL
E0EA; C; E4EA; # LATIN CAPITAL LETTER E WITH OGONEK AND DOUBLE ACUTE
E0EB; C; E4EB; # LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE
E0EC; C; E4EC; # LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE
E0EE; C; E4EE; # LATIN CAPITAL LETTER F WITH DOT BELOW
E0F0; C; E4F0; # LATIN CAPITAL LETTER F WITH ACUTE
E101; C; E501; # LATIN CAPITAL LETTER G WITH DOT BELOW
E116; C; E516; # LATIN CAPITAL LETTER H WITH ACUTE
E12A; C; E52A; # LATIN CAPITAL LETTER I WITH CURL
E135; C; E535; # LATIN CAPITAL LETTER I WITH MACRON AND ACUTE
E137; C; E537; # LATIN CAPITAL LETTER I WITH MACRON AND BREVE
E143; C; E543; # LATIN CAPITAL LETTER I WITH DOUBLE ACUTE
E151; C; E551; # LATIN CAPITAL LETTER J WITH DOT BELOW
E153; C; E553; # LATIN CAPITAL LETTER J WITH ACUTE
E162; C; E562; # LATIN CAPITAL LETTER J WITH DOUBLE ACUTE
E163; C; E563; # LATIN CAPITAL LETTER J WITH CURL
E168; C; E568; # LATIN CAPITAL LETTER K WITH DOT ABOVE
E19E; C; E59E; # LATIN CAPITAL LETTER L WITH DOT ABOVE
E208; C; E608; # LATIN CAPITAL LETTER O WITH OGONEK AND DOT BELOW
E20C; C; E60C; # LATIN CAPITAL LETTER O WITH OGONEK AND ACUTE
E21B; C; E61B; # LATIN CAPITAL LETTER O WITH MACRON AND BREVE
E22D; C; E62D; # LATIN CAPITAL LETTER O WITH DIAERESIS AND CIRCUMFLEX
E244; C; E644; # LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER E ABOVE
E246; C; E646; # LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER U ABOVE
E24F; C; E64F; # LATIN CAPITAL LETTER O WITH OGONEK AND CURL
E252; C; E652; # LATIN CAPITAL LETTER O WITH STROKE AND MACRON
E253; C; E653; # LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND BREVE
E255; C; E655; # LATIN CAPITAL LETTER O WITH STROKE AND OGONEK
E257; C; E657; # LATIN CAPITAL LETTER O WITH STROKE AND OGONEK AND ACUTE
E259; C; E659; # LATIN CAPITAL LIGATURE OE WITH ACUTE
E25D; C; E65D; # LATIN CAPITAL LIGATURE OE WITH MACRON
E260; C; E660; # LATIN CAPITAL LIGATURE OE WITH MACRON AND BREVE
E262; C; E662; # LATIN CAPITAL LIGATURE OE WITH OGONEK
